"species","site","Coll.year","lat","long","ow","N","emerge_mean","emerge_sd","elevation","age","origin","introduced","reservation"
"completa","Detroit/Bluffs",2013,39.7238888888889,-90.5679444444444,16,3,50.6666666666667,4.04145188432738,141,"recent","collections",0,0
"completa","Detroit/Bluffs",2015,39.72389,-90.56794,10,63,87.3174603174603,5.57883499465555,141,"recent","collections",0,0
"completa","Detroit/Bluffs",2016,39.72388889,-90.56794444,10,1,59,NA,141,"recent","collections",0,0
"completa","Dover, MO",2013,39.192734,-93.696933,16,52,47.9038461538462,13.2742705798416,240,"recent","collections",0,0
"completa","Edmond, OK",2012,35.62272,-96.44239,6,3,116,0,238,"recent","collections",0,0
"completa","Edmond, OK",2012,35.62272222,-96.44238889,6,89,95.5280898876404,11.3559054397025,238,"recent","collections",0,0
"completa","Edmond, OK",2013,35.6227222222222,-96.4423888888889,8,442,104.264705882353,18.503540717233,238,"recent","collections",0,0
"completa","Edmond, OK",2013,35.6227222222222,-96.4423888888889,16,232,54.573275862069,15.0765369601726,238,"recent","collections",0,0
"completa","Fort Davis",2016,30.588688,-103.895793,9,328,50.1493902439024,6.2700881766741,NA,"recent","collections",0,0
"completa","Fort Davis",2016,30.588688,-103.895793,10,51,44.6862745098039,5.55874157009815,NA,"recent","collections",0,0
"completa","Glencoe, NM",2013,33.3815361111111,-105.501986111111,8,1,65,NA,1821,"recent","collections",0,0
"completa","Glencoe, NM",2015,33.38154,-105.502,10,2,52.5,2.12132034355964,1821,"recent","collections",0,0
"completa","Grain Valley, MO",2013,39.049948,-94.197528,8,35,87.0285714285714,10.1878985718805,248,"recent","collections",0,0
"completa","Gretna, NE",2016,41.13996,-96.24059,9,2,53,18.3847763108502,NA,"recent","collections",0,0
"completa","Hampton, NE",2016,40.88461,-97.88689,9,20,67.65,11.735124962894,NA,"recent","collections",0,0
"completa","Hope, NM",2013,32.9080277777778,-105.249861111111,8,10,50.6,9.04556367631239,NA,"recent","collections",0,0
"completa","Hope, NM",2013,32.9080277777778,-105.249861111111,13,42,31,5.06060827347474,NA,"recent","collections",0,0
"completa","Jacksonville, IL",2016,39.70003,-90.21961,9,3,86,3.60555127546399,NA,"recent","collections",0,0
"completa","Jacksonville, IL",2016,39.70003,-90.21961,10,52,73.6923076923077,9.47139855821553,NA,"recent","collections",0,0
"completa","Keytesville, MO",2016,39.43308,-92.93675,9,59,71.0169491525424,9.90383333208833,NA,"recent","collections",0,0
"completa","KU",2013,38.9588138888889,-95.2457722222222,8,22,90.3181818181818,5.98717966544519,308,"recent","collections",0,0
"completa","KU",2013,38.9588138888889,-95.2457722222222,16,155,47.3612903225806,13.4810515751187,308,"recent","collections",0,0
"completa","KU",2015,38.95881,-95.24577,10,311,78.5466237942122,8.64889960462691,308,"recent","collections",0,0
"completa","Lexington, MO",2012,39.17583,-93.87381,6,2,117.5,2.12132034355964,261,"recent","collections",0,0
"completa","Lexington, MO",2012,39.1758333333333,-93.8738055555555,6,54,83.8333333333333,14.7491605133667,261,"recent","collections",0,0
"completa","Lexington, MO",2013,39.1758333333333,-93.8738055555555,8,115,86.9304347826087,10.6076120790606,261,"recent","collections",0,0
"completa","Lexington, MO",2015,39.17583,-93.87381,10,60,80.2,9.02313410919634,261,"recent","collections",0,0
"completa","Lexington, MO",2016,39.17583333,-93.87380556,9,19,65,13.9801446503405,261,"recent","collections",0,0
"completa","Lexington, MO",2016,39.17583333,-93.87380556,10,100,58.94,20.2683113367751,261,"recent","collections",0,0
"completa","Lincoln, NE",2013,40.8526416666667,-96.6304638888889,16,84,47.9404761904762,13.4149271205634,354,"recent","collections",0,0
"completa","Lindsborg, KS",2015,38.57353,-97.67914,5,1,71,NA,411,"recent","collections",0,0
"completa","Lindsborg, KS",2015,38.57353,-97.67914,10,4,80.25,11.9547758936195,411,"recent","collections",0,0
"completa","Madison, MO",2015,39.47236,-92.20736,10,60,85.8666666666667,5.1303902341637,245,"recent","collections",0,0
"completa","Mapleton, UT",2012,40.134,-111.5657222,6,476,87.8718487394958,10.0729113309028,1460,"recent","collections",1,0
"completa","Mapleton, UT",2012,40.134,-111.5657,6,12,102.5,5.19615242270663,1460,"recent","collections",1,0
"completa","Mayhill, NM",2013,32.8930555555556,-105.200027777778,13,76,33.7894736842105,3.76055240436361,1628,"recent","collections",0,0
"completa","Mayhill, NM",2015,32.89306,-105.2,5,17,78.7647058823529,9.4771396776975,1628,"recent","collections",0,0
"completa","Mayhill, NM",2015,32.89306,-105.2,10,1,51,NA,1628,"recent","collections",0,0
"completa","Mescalero, NM",2012,33.1643333333333,-105.803888888889,6,1,60,NA,1909,"recent","collections",0,0
"completa","Mescalero, NM",2015,33.16433,-105.8039,10,50,47.38,12.3534511413629,1909,"recent","collections",0,0
"completa","Milford, KS",2012,39.03236111,-96.8895,6,61,80.2459016393443,9.77693840576711,382,"recent","collections",0,0
"completa","Monroe City, MO",2015,39.66903,-91.71536,5,2,68.5,21.920310216783,225,"recent","collections",0,0
"completa","Monroe City, MO",2015,39.66903,-91.71536,10,24,86.5833333333333,11.0725538732201,225,"recent","collections",0,0
"completa","Monroe City, MO",2016,39.66902778,-91.71536111,9,140,78.0928571428571,8.16105546546403,225,"recent","collections",0,0
"completa","Overbrook, KS",2012,38.7805,-95.55688889,6,147,84.8775510204082,7.821552555112,372,"recent","collections",0,0
"completa","Picacho, NM",2013,33.3399722222222,-105.16075,8,15,58.6666666666667,6.60807586719967,1565,"recent","collections",0,0
"completa","Picacho, NM",2013,33.3399722222222,-105.16075,13,163,36.478527607362,5.46632499306332,1565,"recent","collections",0,0
"completa","Picacho, NM",2015,33.33997,-105.1607,5,69,50.536231884058,16.4330904598948,1565,"recent","collections",0,0
"completa","Picacho, NM",2015,33.33997,-105.1607,10,71,59.943661971831,6.88453198729621,1565,"recent","collections",0,0
"completa","Pomona Lake, KS",2012,38.66069444,-95.59483333,6,13,94.5384615384615,15.338488542527,311,"recent","collections",0,0
"completa","Pomona, MO",2013,38.579686,-95.531078,16,51,55.2549019607843,14.1800467379412,299,"recent","collections",0,0
"completa","Salisbury, MO",2012,39.4190277777778,-92.8002222222222,6,10,95.4,9.1796877216312,224,"recent","collections",0,0
"completa","Salisbury, MO",2012,39.41903,-92.80022,6,7,100.714285714286,4.34796066044323,224,"recent","collections",0,0
"completa","Salisbury, MO",2013,39.4190277777778,-92.8002222222222,8,399,89.8897243107769,16.8579006327271,224,"recent","collections",0,0
"completa","Salisbury, MO",2013,39.4190277777778,-92.8002222222222,16,50,45.62,13.7275085064959,224,"recent","collections",0,0
"completa","Salisbury, MO",2015,39.41903,-92.80022,5,21,63.4761904761905,17.831486330699,224,"recent","collections",0,0
"completa","Salisbury, MO",2015,39.41903,-92.80022,10,41,85.8536585365854,8.49576652106729,224,"recent","collections",0,0
"completa","Salisbury, MO",2016,39.41902778,-92.80022222,9,11,96.3636363636364,0.80903983495589,224,"recent","collections",0,0
"completa","Salisbury, MO",2016,39.41902778,-92.80022222,10,101,69.3663366336634,13.3242056215575,224,"recent","collections",0,0
"completa","Springfield, IL",2013,39.7993888888889,-89.6023055555555,16,6,37,0,177,"recent","collections",0,0
"completa","Springfield, IL",2016,39.79938889,-89.60230556,9,1,61,NA,177,"recent","collections",0,0
"completa","State St., KS",2012,38.84163889,-97.67394444,6,49,53.469387755102,17.8057832842969,380,"recent","collections",0,0
"completa","Tonkawa, OK",2015,36.68458,-97.31183,5,4,71.75,18.9450961113072,308,"recent","collections",0,0
"completa","Tonkawa, OK",2015,36.68458,-97.31183,10,961,86.5390218522373,8.80605773273319,308,"recent","collections",0,0
"completa","Topeka, KS",2012,39.05391667,-95.88875,6,70,79.3571428571429,14.5183898519202,305,"recent","collections",0,0
"completa","Waverly, MO",2012,39.20819,-93.51744,6,12,116.75,1.35680105059994,250,"recent","collections",0,0
"completa","Waverly, MO",2012,39.2081944444444,-93.5174444444445,6,130,99.6153846153846,8.88198648723648,250,"recent","collections",0,0
"completa","Waverly, MO",2013,39.2081944444444,-93.5174444444445,8,49,83.8163265306122,18.7712917658275,250,"recent","collections",0,0
"completa","Waverly, MO",2015,39.20819,-93.51744,5,5,64.6,13.3341666406266,250,"recent","collections",0,0
"completa","Waverly, MO",2015,39.20819,-93.51744,10,407,82.1007371007371,4.97651375066086,250,"recent","collections",0,0
"completa","Waverly, NE",2015,40.91608,-96.52736,10,387,81.7131782945736,6.76074519735577,346,"recent","collections",0,0
"completa","Waverly, NE",2016,40.91608333,-96.52736111,9,20,70,0,346,"recent","collections",0,0
"completa","Waverly, NE",2016,40.91608333,-96.52736111,10,209,57.5693779904306,14.9169566683643,346,"recent","collections",0,0
"completa","Wellington, MO",2015,39.13514,-93.98411,10,58,78.6551724137931,6.00745654834708,237,"recent","collections",0,0
"completa","York",2013,40.8876944444444,-97.5826666666667,16,23,51.4347826086956,11.5397577056513,502,"recent","collections",0,0
"juglandis","Banjo Bill",2015,34.96033,-111.753,10,59,28.4406779661017,4.47703406455611,1546,"recent","collections",0,0
"juglandis","Bayard, NM",2016,32.761766,-108.130286,9,208,38.0576923076923,3.38032649447001,NA,"recent","collections",0,0
"juglandis","Bedside Manor",2013,34.8995833333333,-111.731333333333,8,322,43.0434782608696,8.75655363015148,1372,"recent","collections",0,0
"juglandis","Bedside Manor",2015,34.89958,-111.7313,10,1,22,NA,1372,"recent","collections",0,0
"juglandis","Chircahua-2171",2013,31.9194722222222,-109.25175,13,17,24.3529411764706,0.785905247993376,2171,"recent","collections",0,0
"juglandis","Chiricahuas",2013,31.8970666666667,-109.216766666667,13,46,24.3695652173913,1.90156304891148,1741,"recent","collections",0,0
"juglandis","Chiricahuas cliff",2013,31.92625,-109.255583333333,8,189,49.1693121693122,5.91454302590009,2249,"recent","collections",0,0
"juglandis","Chiricahuas cliff",2013,31.92625,-109.255583333333,13,271,28.9594095940959,5.15412582146217,2249,"recent","collections",0,0
"juglandis","Chiricahuas cliff",2015,31.92625,-109.2556,5,101,56.6336633663366,11.4164116711664,2249,"recent","collections",0,0
"juglandis","Chiricahuas cliff",2015,31.92625,-109.2556,10,13,31.1538461538462,3.67074365413318,2249,"recent","collections",0,0
"juglandis","Chiricahuas cliff",2016,31.92625,-109.2555833,9,145,32.5172413793103,6.08059692824902,2249,"recent","collections",0,0
"juglandis","Chiricahuas-2078",2013,31.9355833333333,-109.279638888889,13,119,27.7142857142857,4.17243345884904,2078,"recent","collections",0,0
"juglandis","Cloudcroft, NM",2013,32.9248888888889,-105.391666666667,8,97,48.9175257731959,6.69525656574113,1893,"recent","collections",0,0
"juglandis","Cloudcroft, NM",2013,32.9248888888889,-105.391666666667,13,3,30,0,1893,"recent","collections",0,0
"juglandis","Cloudcroft, NM",2015,32.92489,-105.3917,10,127,31.0236220472441,5.03553179192094,1893,"recent","collections",0,0
"juglandis","Eagar, AZ",2015,34.11094,-109.2969,10,66,34.6969696969697,5.78318436894601,2165,"recent","collections",0,0
"juglandis","Fort Davis",2016,30.588688,-103.895793,9,5,36.8,14.7037410205702,NA,"recent","collections",0,0
"juglandis","Fort Davis",2016,30.588688,-103.895793,10,2,29,1.4142135623731,NA,"recent","collections",0,0
"juglandis","Glencoe, NM",2013,33.3815361111111,-105.501986111111,8,176,48.0909090909091,5.21566073313026,1821,"recent","collections",0,0
"juglandis","Glencoe, NM",2015,33.38154,-105.502,5,161,44.2422360248447,8.54676576073921,1821,"recent","collections",0,0
"juglandis","Glencoe, NM",2015,33.38154,-105.502,10,270,36.1222222222222,4.35205658630025,1821,"recent","collections",0,0
"juglandis","Hillsboro, NM",2012,32.90656,-107.7643,6,1,39,NA,1753,"recent","collections",0,0
"juglandis","Hillsboro, NM",2013,32.9195277777778,-107.651388888889,8,1065,52.818779342723,5.04714841818744,1753,"recent","collections",0,0
"juglandis","Hillsboro, NM",2013,32.9195277777778,-107.651388888889,13,240,32.8833333333333,6.11423106190647,1753,"recent","collections",0,0
"juglandis","Hillsboro, NM",2015,32.91953,-107.6514,5,97,53.1030927835052,11.7282462955203,1753,"recent","collections",0,0
"juglandis","Hillsboro, NM",2015,32.91953,-107.6514,10,338,37.1420118343195,4.66605375682498,1753,"recent","collections",0,0
"juglandis","Hope, NM",2013,32.9080277777778,-105.249861111111,8,276,45.9782608695652,7.36622996338818,NA,"recent","collections",0,0
"juglandis","Hope, NM",2013,32.9080277777778,-105.249861111111,13,184,30.9565217391304,6.10905096415024,NA,"recent","collections",0,0
"juglandis","Indian Market",2013,34.9103,-111.728644444444,8,188,51.1968085106383,7.38683540858398,1401,"recent","collections",0,0
"juglandis","Indian Market",2013,34.9103,-111.728644444444,13,118,30.0677966101695,5.65795531543343,1401,"recent","collections",0,0
"juglandis","Indian Market",2015,34.9103,-111.7286,10,1,22,NA,1401,"recent","collections",0,0
"juglandis","Indian Market",2016,34.9103,-111.7286444,9,830,29.4048192771084,4.41348694070162,1401,"recent","collections",0,0
"juglandis","Indian Market",2016,34.9103,-111.7286444,10,495,30.3919191919192,3.56432153567143,1401,"recent","collections",0,0
"juglandis","Iron Creek Campsite, Gila, NM",2012,32.90969444,-107.8037222,6,3,32.3333333333333,0.577350269189626,2215,"recent","collections",0,0
"juglandis","Jerome",2015,34.748394,-112.115029,10,918,39.640522875817,7.12065915897221,1578,"recent","collections",0,0
"juglandis","Manzanita",2015,34.93611,-111.7447,10,494,40.6315789473684,3.55682567198543,1480,"recent","collections",0,0
"juglandis","Mayhill, NM",2013,32.8930555555556,-105.200027777778,13,187,31.1069518716578,6.38877584424386,1628,"recent","collections",0,0
"juglandis","Mayhill, NM",2015,32.89306,-105.2,5,45,59.8,11.5494982181439,1628,"recent","collections",0,0
"juglandis","Mayhill, NM",2015,32.89306,-105.2,10,4,39,2.44948974278318,1628,"recent","collections",0,0
"juglandis","McNarey, AZ",2012,34.06511111,-109.9132778,6,22,33.7727272727273,4.26426812993539,2187,"recent","collections",0,1
"juglandis","McNary and White River",2012,34.1531666666667,-110.102416666667,6,39,33.6410256410256,4.53922773102012,1876,"recent","collections",0,1
"juglandis","McNary and White River",2013,34.1531666666667,-110.102416666667,8,136,56.7794117647059,5.60514469561879,1876,"recent","collections",0,1
"juglandis","McNary and White River",2013,34.1531666666667,-110.102416666667,16,113,41.1946902654867,5.53537069199984,1876,"recent","collections",0,1
"juglandis","Mescalero, NM",2012,33.1643333333333,-105.803888888889,6,50,45.82,8.68423389639794,1909,"recent","collections",0,0
"juglandis","Mescalero, NM",2013,33.1643333333333,-105.803888888889,13,187,29.8342245989305,6.42318589198908,1909,"recent","collections",0,0
"juglandis","Mescalero, NM",2015,33.16433,-105.8039,10,202,32.6435643564356,5.42352377313202,1909,"recent","collections",0,0
"juglandis","Mingus Mt. ",2013,34.7403611111111,-112.125527777778,13,146,27.7260273972603,4.72195247160238,1718,"recent","collections",0,0
"juglandis","Mt. Lemon",2013,32.3708611111111,-110.700222222222,13,296,33.0405405405405,6.50515141722795,1772,"recent","collections",0,0
"juglandis","Oak Creek campground",2013,35.0253333333333,-111.740805555556,8,126,49.6269841269841,5.84155339201364,1771,"recent","collections",0,0
"juglandis","Oak Creek scenic view",2013,35.0295555555556,-111.735111111111,8,1081,57.3802035152636,5.65429502066925,1927,"recent","collections",0,0
"juglandis","Oak Creek scenic view",2013,35.0295555555556,-111.735111111111,16,324,43.7376543209877,9.12566221648731,1927,"recent","collections",0,0
"juglandis","Oak Creek scenic view",2015,35.02956,-111.7351,10,19,31.4210526315789,2.47915284531014,1927,"recent","collections",0,0
"juglandis","Old Pump House",2015,35.00569,-111.753,10,43,29,5.39841246505462,2057,"recent","collections",0,0
"juglandis","Picacho, NM",2013,33.3399722222222,-105.16075,8,126,44.8095238095238,5.55656625726973,1565,"recent","collections",0,0
"juglandis","Picacho, NM",2013,33.3399722222222,-105.16075,13,171,29.0643274853801,5.37986026368979,1565,"recent","collections",0,0
"juglandis","Picacho, NM",2015,33.33997,-105.1607,5,15,53.4,10.3633971264253,1565,"recent","collections",0,0
"juglandis","Picacho, NM",2015,33.33997,-105.1607,10,8,45.25,3.4537764010676,1565,"recent","collections",0,0
"juglandis","Pinery Canyon",2013,31.9364166666667,-109.284944444444,8,457,52.1028446389497,5.02060803570427,2061,"recent","collections",0,0
"juglandis","Pinery Canyon",2013,31.9364166666667,-109.284944444444,13,172,27.9476744186047,6.42297096082119,2061,"recent","collections",0,0
"juglandis","Pinery Canyon",2015,31.93642,-109.2849,5,127,60.0314960629921,6.44628231467874,2061,"recent","collections",0,0
"juglandis","Pinetop, AZ",2013,34.1472222222222,-109.972,13,61,27.5901639344262,4.70240027071398,2062,"recent","collections",0,0
"juglandis","Prescott",2013,34.7050277777778,-112.160861111111,8,1341,58.0402684563758,6.24032537800707,2108,"recent","collections",0,0
"juglandis","Prescott",2013,34.7050277777778,-112.160861111111,13,187,27.6577540106952,3.66624845367989,2108,"recent","collections",0,0
"juglandis","Prescott",2013,34.7050277777778,-112.160861111111,16,616,39.6915584415584,6.25259570214365,2108,"recent","collections",0,0
"juglandis","Prescott sign",2013,34.7304166666667,-112.141805555556,8,469,50.0852878464819,7.7974613014855,1912,"recent","collections",0,0
"juglandis","Prescott sign",2013,34.7304166666667,-112.141805555556,13,136,28.3161764705882,4.46501164343777,1912,"recent","collections",0,0
"juglandis","Prescott sign",2015,34.73042,-112.1418,10,660,32.430303030303,6.1668497895481,1912,"recent","collections",0,0
"juglandis","Prescott summit",2013,34.7079166666667,-112.149333333333,8,14,59.5,3.39116499156263,2148,"recent","collections",0,0
"juglandis","Reserve, NM",2012,32.78172222,-108.4728333,6,37,68.8378378378378,4.56139302256518,1520,"recent","collections",0,0
"juglandis","Show Low, AZ",2012,34.1558333333333,-109.973555555556,6,2,34,7.07106781186548,2057,"recent","collections",0,0
"juglandis","Show Low, AZ",2013,34.1558333333333,-109.973555555556,16,5,44.2,1.6431676725155,2057,"recent","collections",0,0
"juglandis","Slide Rock",2013,34.9160166666667,-111.731186111111,8,402,43.7611940298507,9.40354295024601,1506,"recent","collections",0,0
"juglandis","Slide Rock",2013,34.9160166666667,-111.731186111111,13,319,30.4733542319749,6.07850204749663,1506,"recent","collections",0,0
"juglandis","SW Research",2013,31.883525,-109.206127777778,8,371,50.7466307277628,4.69392456335983,1654,"recent","collections",0,0
"juglandis","SW Research",2016,31.883525,-109.2061278,9,669,32.2436472346786,5.30298829730542,1654,"recent","collections",0,0
"juglandis","SW Research",2016,31.883525,-109.2061278,10,296,31.1182432432432,6.99075939389592,1654,"recent","collections",0,0
"juglandis","Trogon house, AZ",2015,31.89707,-108.7832,5,4,59.25,9.63932916061417,1370,"recent","collections",0,0
"juglandis","Turkey Flats",2013,31.9087222222222,-109.251,13,17,27.1176470588235,1.96476311998344,1983,"recent","collections",0,0
"juglandis","Upper Gallinas",2015,32.89125,-107.8259,10,191,34.9895287958115,5.07210070545447,2259,"recent","collections",0,0
"juglandis","Washington Ranch",2013,32.0811944444444,-104.491277777778,13,3,28,0,1137,"recent","collections",0,0
"juglandis","White Mountain, AZ",2013,34.1255277777778,-109.930388888889,16,1,43,NA,2132,"recent","collections",0,0
"suavis","Adair, IA",2013,41.503974,-94.642531,8,1,78,NA,447,"recent","collections",0,0
"suavis","Adair, IA",2016,41.503974,-94.642531,9,24,51.5,12.0650411267971,447,"recent","collections",0,0
"suavis","Adele, IA",2012,41.53275,-94.01202778,6,4,82.5,5.97215762238964,289,"recent","collections",0,0
"suavis","Avoca, IA",2012,41.4795833333333,-95.3393611111111,6,30,80.2666666666667,5.1322733642176,349,"recent","collections",0,0
"suavis","Avoca, IA",2013,41.4795833333333,-95.3393611111111,16,1,42,NA,349,"recent","collections",0,0
"suavis","Avoca, IA",2016,41.47958333,-95.33936111,10,1,42,NA,349,"recent","collections",0,0
"suavis","Buckner, MO",2012,39.1341944444444,-94.2011111111111,6,1,110,NA,230,"recent","collections",0,0
"suavis","Buckner, MO",2013,39.1341944444444,-94.2011111111111,8,5,57.6,9.93981891183134,230,"recent","collections",0,0
"suavis","Buckner, MO",2015,39.13419,-94.20111,10,2,60.5,3.53553390593274,230,"recent","collections",0,0
"suavis","Buckner, MO",2016,39.13419444,-94.20111111,9,2,61,2.82842712474619,230,"recent","collections",0,0
"suavis","Clinton Park, KS",2013,38.9746666666667,-95.2466666666667,8,1,104,NA,264,"recent","collections",0,0
"suavis","Clinton Park, KS",2016,38.97466667,-95.24666667,10,1,56,NA,264,"recent","collections",0,0
"suavis","Colfax, IA",2012,41.6750833333333,-93.2384722222222,6,120,75.0916666666667,9.0451675508201,284,"recent","collections",0,0
"suavis","Colfax, IA",2013,41.6750833333333,-93.2384722222222,8,2,66,2.82842712474619,284,"recent","collections",0,0
"suavis","Colfax, IA",2015,41.67508,-93.23847,5,1,76,NA,284,"recent","collections",0,0
