"Site","Date","Time","Calcium_mg_L","Hardness_total_mg_L","Magnesium_mg_L","Salinity_ppt","Phosphorus_total_mg_L","NH3_mg_L","Copper_mg_L","E_coli_MPN_100mL","Conductivity_uS","do_percent_sat","Temperature_C","do_mg_L","pH","Turbidity_NTU","TSS_mg_L","Nitrogen_total_mg_L","NO2_NO3_mg_L","TKN_mg_L","Zinc_mg_L","Salinity_uS","E_coli_CFU_100mL"
"TC17","2023-09-12","9:00",8.3,34.6,3.3,NA,0.064,0,0,613,NA,NA,NA,NA,NA,9.2,7.4,0.586,0.076,0.51,0,NA,NA
"TC17","2023-09-12","08:36",NA,NA,NA,0.05,NA,NA,NA,NA,97.7,78.6,22,6.85,7.18,NA,NA,NA,NA,NA,NA,NA,NA
"WC18","2023-09-12","10:20",7.3,25.9,1.9,0.04,0,0,0.0025,196,92.5,96,24.3,8.01,7.11,11.8,9.4,0.15,0.15,0,0,NA,NA
"BB2","2023-12-07","11:24",11.8,45.4,3.9,0.08,0,0,0,687,110.8,94.5,7.3,11.4,7.26,1.9,3,1.26,0.54,0.72,0,NA,NA
"BBS3","2023-12-07","11:05",9.5,34.7,2.7,0.06,0.054,0,0,135,84.6,75.3,8.3,8.85,7,14.7,6.8,0.08,0.08,0,0,NA,NA
"BDB1","2023-12-07","10:54",12.5,47.3,3.9,0.08,0,0,0,138,112.9,88.3,7.4,10.62,7.16,2.9,0,0.66,0.66,0,0,NA,NA
"CC4","2023-12-07","9:19",12.4,44,3.2,0.14,0.31,0,0,74.3,195.2,82.8,8.7,9.63,7.38,4.4,0,1.28,0.43,0.85,0.0148,NA,NA
"CC5","2023-12-07","10:10",13.1,48.5,3.8,0.11,0.1,0,0,66.3,149.7,92.5,7.7,11.03,7.29,3.6,0,0.28,0.28,0,0,NA,NA
"HC7","2023-12-07","10:18",11.8,45.9,4,0.08,0,0.11,0,1300,113.6,95.5,6.8,11.65,7.27,1.4,0,0.68,0.68,0,0,NA,NA
"HC7 (DUP-2)","2023-12-07","10:18",11.7,45.3,3.9,NA,0,0.1,0,921,NA,NA,NA,NA,NA,2.4,0,0.7,0.7,0,0,NA,NA
"HSC6","2023-12-07","9:58",7.3,29.2,2.7,0.05,0,0,0,365,64.3,107.7,5.9,13.44,7.33,1.4,0,0.29,0.29,0,0,NA,NA
"LBC8","2023-12-07","8:16",16.5,63,5.3,0.11,0.097,0,0,83.9,144.9,69.5,6.1,8.63,6.83,9.9,6.6,0.59,0,0.59,0,NA,NA
"MC10","2023-12-07","10:37",8.2,29.7,2.2,0.04,0,0.11,0,162,62.2,95.5,7.3,11.52,7.32,4.8,0,0.76,0.18,0.58,0,NA,NA
"MC9","2023-12-07","9:41",10.5,40.8,3.6,0.07,0,0,0,142,93.7,91.1,7.7,10.88,7.13,3.3,0,0.37,0.37,0,0,NA,NA
"PC11","2023-12-07","8:36",13.3,48.8,3.8,0.07,0,0,0,142,99.2,85.9,7.7,10.25,6.92,5.6,4.4,0.32,0.32,0,0,NA,NA
"PHB12","2023-12-07","9:08",28.7,101,7,0.15,0.057,0,0.0026,1120,207,91.5,7.8,10.88,7.19,3.3,4.6,1.4,1.4,0,0.0134,NA,NA
"RB15","2023-12-07","11:30",27.6,104,8.6,0.15,0,0,0.0025,770,214.2,90.6,8.1,10.69,7.29,1.7,0,1.4,1.4,0,0,NA,NA
"RC13","2023-12-07","9:35",7.3,27.2,2.2,0.04,0,0,0,48.8,56.7,94.8,6.2,11.72,7.5,7.6,0,0.24,0.24,0,0,NA,NA
"RC14","2023-12-07","7:55",10.6,42.4,3.9,0.06,0,0,0,1410,79.9,100.5,5.2,12.77,7.19,2.7,0,0.27,0.27,0,0,NA,NA
"SC16","2023-12-07","9:06",9.2,33.9,2.6,0.05,0,0,0,101,68.4,89,5,11.39,7.47,2.7,0,0,0,0,0,NA,NA
"TC17","2023-12-07","8:48",16.3,72.2,7.7,0.1,0,0,0,186,128.8,84.6,6.1,10.45,7.18,1.8,0,0,0,0,0,NA,NA
"WC18","2023-12-07","10:38",13.4,50.4,4.1,0.08,0,0,0,138,107.6,94.9,7.6,11.36,7.26,7.7,0,0.27,0.27,0,0,NA,NA
"WC18 (DUP-1)","2023-12-07","10:38",13.2,49.3,4,NA,0,0,0,210,NA,NA,NA,NA,NA,7.6,3,0.26,0.26,0,0,NA,NA
