"","sex","year","name","number"
"205","F",1910,"Marguerite",11
"206","F",1910,"Sylvia",11
"207","F",1910,"Winnie",11
"208","F",1910,"Adell",10
"209","F",1910,"Amy",10
"210","F",1910,"Barbara",10
"211","F",1910,"Blanch",10
"212","F",1910,"Eleanor",10
"213","F",1910,"Erma",10
"214","F",1910,"Eugenia",10
"215","F",1910,"Irma",10
"216","F",1910,"Isabelle",10
"217","F",1910,"Jeanette",10
"218","F",1910,"Luella",10
"219","F",1910,"Madeline",10
"220","F",1910,"Nola",10
"221","F",1910,"Novella",10
"222","F",1910,"Olivia",10
"223","F",1910,"Queen",10
"224","F",1910,"Tessie",10
"225","F",1910,"Augusta",9
"226","F",1910,"Claudia",9
"227","F",1910,"Goldie",9
"228","F",1910,"Harriet",9
"229","F",1910,"Jewel",9
"230","F",1910,"Leatha",9
"231","F",1910,"Lee",9
"232","F",1910,"Lilly",9
"233","F",1910,"Lina",9
"234","F",1910,"Lucinda",9
"235","F",1910,"Mallie",9
"236","F",1910,"Mittie",9
"237","F",1910,"Sue",9
"238","F",1910,"Verlie",9
"239","F",1910,"Zelma",9
"240","F",1910,"Zula",9
"241","F",1910,"Adelaide",8
"242","F",1910,"Alta",8
"243","F",1910,"Belle",8
"244","F",1910,"Dessie",8
"245","F",1910,"Francis",8
"246","F",1910,"Frankie",8
"247","F",1910,"Iris",8
"248","F",1910,"Johnsie",8
"249","F",1910,"Kathryn",8
"250","F",1910,"Kattie",8
"251","F",1910,"Linda",8
"252","F",1910,"Lona",8
"253","F",1910,"Lora",8
"254","F",1910,"Norma",8
"255","F",1910,"Odell",8
"256","F",1910,"Olive",8
"257","F",1910,"Ophelia",8
"258","F",1910,"Peggy",8
"259","F",1910,"Pennie",8
"260","F",1910,"Reba",8
"261","F",1910,"Delphia",7
"262","F",1910,"Dolly",7
"263","F",1910,"Faye",7
"264","F",1910,"Flonnie",7
"265","F",1910,"Iola",7
"266","F",1910,"Jannie",7
"267","F",1910,"Lily",7
"268","F",1910,"Madge",7
"269","F",1910,"Maybelle",7
"270","F",1910,"Rhoda",7
"271","F",1910,"Sophia",7
"272","F",1910,"Sophie",7
"273","F",1910,"Texie",7
"274","F",1910,"Theresa",7
"275","F",1910,"Vergie",7
"276","F",1910,"Vonnie",7
"277","F",1910,"Adele",6
"278","F",1910,"Bell",6
"279","F",1910,"Betsy",6
"280","F",1910,"Bulah",6
"281","F",1910,"Caroline",6
"282","F",1910,"Carolyn",6
"283","F",1910,"Charlie",6
"284","F",1910,"Creola",6
"285","F",1910,"Ernestine",6
"286","F",1910,"Estell",6
"287","F",1910,"Ester",6
"288","F",1910,"Hessie",6
"289","F",1910,"Jewell",6
"290","F",1910,"Johnnie",6
"291","F",1910,"Lou",6
"292","F",1910,"Luetta",6
"293","F",1910,"Luvenia",6
"294","F",1910,"Macy",6
"295","F",1910,"Madie",6
"296","F",1910,"Magnolia",6
"297","F",1910,"Margret",6
"298","F",1910,"Miriam",6
"299","F",1910,"Myra",6
"300","F",1910,"Myrtie",6
"301","F",1910,"Priscilla",6
"302","F",1910,"Queenie",6
"303","F",1910,"Savannah",6
"304","F",1910,"Sybil",6
"305","F",1910,"Aggie",5
"306","F",1910,"Allene",5
"307","F",1910,"Audrey",5
"308","F",1910,"Birdie",5
"309","F",1910,"Clyde",5
"310","F",1910,"Cordie",5
"311","F",1910,"Delia",5
"312","F",1910,"Delilah",5
"313","F",1910,"Earlie",5
"314","F",1910,"Evie",5
"315","F",1910,"Fay",5
"316","F",1910,"Genevieve",5
"317","F",1910,"George",5
"318","F",1910,"Glennie",5
"319","F",1910,"Henry",5
"320","F",1910,"Isabel",5
"321","F",1910,"Isabella",5
"322","F",1910,"Jeannette",5
"323","F",1910,"Leila",5
"324","F",1910,"Lennie",5
"325","F",1910,"Leora",5
"326","F",1910,"Lonie",5
"327","F",1910,"Lorraine",5
"328","F",1910,"Louella",5
"329","F",1910,"Lyda",5
"330","F",1910,"Mayme",5
"331","F",1910,"Mertie",5
"332","F",1910,"Mozell",5
"333","F",1910,"Nan",5
"334","F",1910,"Neva",5
"335","F",1910,"Nolie",5
"336","F",1910,"Octavia",5
"337","F",1910,"Omie",5
"338","F",1910,"Opal",5
"339","F",1910,"Patricia",5
"340","F",1910,"Robena",5
"341","F",1910,"Tempie",5
"342","F",1910,"Vallie",5
"343","F",1910,"Velna",5
"344","F",1910,"Willa",5
"345","F",1910,"Zora",5
"346","F",1911,"Mary",838
"347","F",1911,"Annie",373
