"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2019-02-14","CT_EbenezerChurch",NA,18,43,10.9,NA,8,NA,NA,7.1,203,NA,0.09,NA,NA,0.63,NA,NA,0.02
"2019-07-02","NeuseRiver",25,3.2,3,6,NA,28.3,0,NA,7.1,76,0,0.02,0,NA,NA,5.4,3.8,0.03
"2019-10-11","CT_Umstead",38,16,60,4.5,NA,20.4,14,NA,7.5,119,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-20","Pigeon_House",NA,1.4,2400,5.8,0,22.8,NA,NA,7.3,323,NA,NA,NA,NA,NA,NA,NA,NA
"2019-07-18","CT_Umstead",37,16,390,1.6,NA,29.6,12,NA,7.5,139,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-14","CT_Umstead",34,39,850,13.3,NA,5.8,22,NA,7.2,129,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-20","CT_Umstead",NA,23,18,4.5,NA,28.4,NA,NA,7.2,113,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-05","CT_EbenezerChurch",NA,5.7,350,6,NA,22.6,NA,NA,6.9,318,NA,0.17,NA,NA,0.77,NA,NA,0.04
"2019-08-01","CT_Umstead",NA,18,230,2.9,NA,28.3,NA,NA,7.5,116,NA,NA,NA,NA,NA,NA,NA,NA
"2019-12-03","CT_Umstead",NA,25,84,11.5,NA,9.8,NA,NA,7.6,107,NA,NA,NA,NA,NA,NA,NA,NA
"2019-10-21","Pigeon_House",80,100,1200,8.5,0,18.1,29,NA,7.4,286,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-18","CT_Umstead",NA,60,40,9.8,NA,13.8,NA,NA,7.3,111,NA,NA,NA,NA,NA,NA,NA,NA
"2019-12-03","Pigeon_House",NA,2.7,260,8.4,0,10.4,NA,NA,6.9,307,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14","Pigeon_House",NA,1.9,980,8.7,0,9.1,NA,NA,6.8,299,NA,NA,NA,NA,NA,NA,NA,NA
"2019-09-20","CT_Umstead",NA,27,300,4.5,NA,23.2,NA,NA,7.4,106,NA,NA,NA,NA,NA,NA,NA,NA
"2019-09-20","CT_WakeForestRd",NA,3.4,340,7.3,NA,20.6,NA,NA,7.1,268,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-11","CT_WakeForestRd",NA,55,1100,10.3,NA,12.4,NA,NA,6.7,107,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-27","CT_EbenezerChurch",NA,NA,NA,10.3,NA,15.1,NA,NA,7.7,155,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-06","NeuseRiver",27,2.8,23,11.2,NA,10.2,0,NA,7.2,87,0,0.02,0,NA,0.7,6.7,4.2,0.2
"2020-03-02","NeuseRiver",NA,15,2,11.6,NA,10.4,NA,NA,7.6,72,0,0.05,0,NA,0.64,5.5,6.5,0.04
"2020-03-27","Pigeon_House",NA,NA,NA,9.1,NA,15.2,NA,NA,7.3,312,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-07","CT_WakeForestRd",33,35,500,10.8,NA,10.4,28,NA,7.1,117,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-11","Pigeon_House",NA,28,1500,9.4,0,15.1,NA,NA,6.8,151,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-07","Pigeon_House",90,8.2,700,10,0,10.3,0,NA,6.8,321,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-11","CT_Umstead",NA,70,270,10.4,NA,12.3,NA,NA,6.9,88,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-11","CT_EbenezerChurch",NA,70,200,10.2,NA,12,NA,NA,6.9,96,NA,0.13,NA,NA,0.77,NA,NA,0.04
"2020-02-03","NeuseRiver",NA,5.5,2,11.8,NA,9.2,NA,NA,7.2,111,0,0.04,0,NA,0.69,9.3,8.8,0.06
"2020-01-07","CT_Umstead",30,39,500,11.3,NA,9.9,28,NA,7.4,102,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-07","CT_EbenezerChurch",32,34,550,11,NA,9.8,25,NA,7.3,119,NA,0.11,NA,NA,0.86,NA,NA,0.04
"2020-03-27","CT_Umstead",NA,NA,NA,10.4,NA,15,NA,NA,7.7,152,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-27","CT_WakeForestRd",NA,NA,NA,10.5,NA,14.8,NA,NA,7.4,158,NA,NA,NA,NA,NA,NA,NA,NA
