"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2016-12-12","CT_WakeForestRd",NA,10,200,12.69,NA,6.2,NA,NA,7.6,135.8,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-28","NeuseRiver",21,18,5,12.44,NA,6.5,0,0.12,6.95,70,NA,0.05,NA,NA,0.64,NA,NA,NA
"2016-12-12","NeuseRiver",NA,7.8,2,10.57,NA,11.3,NA,0.16,7.29,80.3,NA,0.02,NA,NA,0.59,NA,NA,NA
"2016-01-11","CT_WakeForestRd",32,33,160,12.23,NA,8.8,0,NA,7.11,114.6,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-11","CT_Umstead",32,80,140,11.97,NA,8.6,22,NA,7.4,96.2,NA,NA,NA,NA,NA,NA,NA,NA
"2016-11-07","CT_Umstead",NA,14,60,6.61,NA,15.7,NA,NA,6.84,71.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-11","NeuseRiver",NA,4.8,5,9.07,NA,20.6,NA,0.02,6.73,88,NA,0.02,NA,NA,0.5,NA,NA,NA
"2016-06-15","NeuseRiver",NA,4.3,12,7.03,NA,26.7,NA,0,7.63,97.1,NA,0.02,NA,NA,0.5,NA,NA,NA
"2016-06-10","CT_WakeForestRd",NA,20,140,7,NA,23.4,NA,NA,7.29,129.8,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-11","Pigeon_House",NA,3.6,2100,6.42,0,19.6,NA,NA,7.02,321.2,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-31","CT_WakeForestRd",NA,3.4,550,6.16,NA,24.9,NA,NA,7.11,268.8,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-04","CT_WakeForestRd",NA,80,1000,10.88,NA,12.3,NA,NA,7.18,227.5,NA,NA,NA,NA,NA,NA,NA,NA
"2016-06-10","CT_Umstead",NA,40,12,6.5,NA,26.5,NA,NA,7.43,109.4,NA,NA,NA,NA,NA,NA,NA,NA
"2017-09-14","CT_EbenezerChurch",NA,13,200,6.51,NA,22.7,NA,NA,7.33,193.7,NA,0.15,NA,NA,0.73,NA,NA,0.04
"2017-10-10","Pigeon_House",80,1.5,2700,1.12,0,23.1,0,NA,7.03,270.5,NA,NA,NA,NA,NA,NA,NA,NA
"2017-04-18","NeuseRiver",27,6.4,3,9.09,NA,14.3,0,NA,6.95,NA,NA,0.03,NA,NA,0.7,NA,NA,0.14
"2017-01-12","CT_EbenezerChurch",35,29,96,12.51,NA,6.1,12,NA,7.35,183.9,NA,0.1,NA,NA,0.78,NA,NA,0.07
"2017-03-02","CT_WakeForestRd",NA,65,3000,11.12,NA,15.9,NA,NA,7.12,166.3,NA,NA,NA,NA,NA,NA,NA,NA
"2017-08-15","Pigeon_House",NA,1.7,1500,2.73,0,24.1,NA,NA,6.93,324.1,NA,NA,NA,NA,NA,NA,NA,NA
"2017-08-15","CT_Umstead",NA,20,140,7.26,NA,27.5,NA,NA,7.2,90.5,NA,NA,NA,NA,NA,NA,NA,NA
"2017-10-10","CT_WakeForestRd",53,3.2,310,4.59,NA,22.8,0,NA,7.08,343.9,NA,NA,NA,NA,NA,NA,NA,NA
"2017-12-08","CT_EbenezerChurch",NA,2.3,78,9.55,NA,10.5,NA,NA,7.34,325.2,NA,0.15,NA,NA,0.82,NA,NA,0
"2017-02-06","Pigeon_House",NA,3.5,1000,7.36,0,8.3,NA,NA,7.02,301.7,NA,NA,NA,NA,NA,NA,NA,NA
"2017-11-07","CT_EbenezerChurch",NA,5.4,84,7.11,NA,18.2,NA,NA,7.3,259,NA,0.22,NA,NA,0.76,NA,NA,0
"2017-06-14","CT_WakeForestRd",NA,11,150,6.53,NA,24,NA,NA,7.13,184.5,NA,NA,NA,NA,NA,NA,NA,NA
"2017-02-06","CT_EbenezerChurch",NA,8.7,59,9.94,NA,7.9,NA,NA,7.25,306.2,NA,0.18,NA,NA,0.79,NA,NA,0.1
"2017-03-02","Pigeon_House",NA,22,2600,9.91,0,14.2,NA,NA,7,174.1,NA,NA,NA,NA,NA,NA,NA,NA
"2017-08-15","CT_EbenezerChurch",NA,36,550,6.54,NA,27,NA,NA,7.17,105,NA,0.14,NA,NA,0.84,NA,NA,0.05
"2017-05-17","Pigeon_House",NA,1.5,1600,6.25,0,19.3,NA,NA,7.06,325.9,NA,NA,NA,NA,NA,NA,NA,NA
"2017-02-06","NeuseRiver",NA,7.8,4,11.33,NA,8.4,NA,NA,7.26,74,NA,0.03,NA,NA,0.66,NA,NA,0.04
"2017-10-10","CT_EbenezerChurch",59,2.3,170,4.63,NA,24.4,0,NA,7.4,501.6,NA,0.61,NA,NA,0.88,NA,NA,0
"2017-11-07","NeuseRiver",NA,3.1,8,8.94,NA,18.6,NA,NA,7.41,82.4,0,0.02,0,NA,0.71,5.4,2.6,0.22
"2017-12-08","Pigeon_House",NA,13,1600,6.84,0,10.7,NA,NA,7.03,281.9,NA,NA,NA,NA,NA,NA,NA,NA
"2017-04-18","CT_EbenezerChurch",53,4.6,40,5.62,NA,20.5,0,NA,7.16,NA,NA,0.24,NA,NA,0.8,NA,NA,0.06
"2017-05-17","NeuseRiver",NA,7.1,4,8.97,NA,20.9,NA,NA,7.12,80.6,NA,0.05,NA,NA,0.69,NA,NA,0.06
"2017-08-15","NeuseRiver",NA,3.1,25,7.12,NA,28,NA,NA,7.1,80.2,NA,0.02,NA,NA,0.59,NA,NA,0.07
"2017-06-14","CT_Umstead",NA,31,15,4.73,NA,27.4,NA,NA,7.22,101.1,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-12","Pigeon_House",80,4.3,720,7.86,0,10.1,0,NA,7.14,617,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-02","CT_EbenezerChurch",NA,19,500,9.97,NA,16,NA,NA,7.27,244.1,NA,0.16,NA,NA,0.83,NA,NA,0.08
"2017-12-08","CT_WakeForestRd",NA,4.7,120,10.26,NA,9.7,NA,NA,7.06,233.2,NA,NA,NA,NA,NA,NA,NA,NA
"2017-04-18","CT_WakeForestRd",47,7.9,360,7.26,NA,20.3,6.8,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-07-17","CT_EbenezerChurch",47,NA,84,5.61,NA,25.7,7.8,NA,7.35,330.1,NA,0.22,NA,NA,1,NA,NA,0.05
"2017-03-02","NeuseRiver",NA,8.3,7,12.88,NA,11.8,NA,NA,7.08,80.2,NA,0.04,NA,NA,0.65,NA,NA,0.09
"2017-06-14","Pigeon_House",NA,1.8,3200,4.82,0,21.5,NA,NA,7.21,311.2,NA,NA,NA,NA,NA,NA,NA,NA
"2017-11-07","CT_Umstead",NA,19,34,7.3,NA,17.7,NA,NA,7.47,88.6,NA,NA,NA,NA,NA,NA,NA,NA
"2017-10-10","NeuseRiver",26,3.5,6,6.96,NA,23.8,0,NA,7.17,84.9,0,0.02,0,NA,0.81,5.4,2.7,0.27
"2017-02-06","CT_Umstead",NA,18,26,9.36,NA,7.6,NA,NA,7.33,23.9,NA,NA,NA,NA,NA,NA,NA,NA
"2017-02-06","CT_WakeForestRd",NA,6.5,160,12.18,NA,6.1,NA,NA,6.88,262.7,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-12","NeuseRiver",21,6.3,3,12.43,NA,7,0,NA,7.18,77.6,NA,0.02,NA,NA,0.66,NA,NA,0.12
"2017-06-14","CT_EbenezerChurch",NA,9.3,84,6.16,NA,24.8,NA,NA,7.36,259.2,NA,0.28,NA,NA,0.71,NA,NA,0.04
"2017-07-17","CT_WakeForestRd",9.8,39,1500,5.9,NA,27,25,NA,6.94,84.8,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-12","CT_WakeForestRd",43,24,150,12.98,NA,5.8,0,NA,7.38,328.5,NA,NA,NA,NA,NA,NA,NA,NA
"2017-05-17","CT_EbenezerChurch",NA,31,42,7.04,NA,22.4,NA,NA,7.2,173,NA,0.18,NA,NA,0.68,NA,NA,0.04
"2017-12-08","NeuseRiver",NA,4.2,2,10.39,NA,12,NA,NA,7.41,82.3,0,0.02,0,NA,0.65,5.6,3.9,0.13
"2017-07-17","Pigeon_House",63,3.9,1500,3.25,0,24,0,NA,6.93,257,NA,NA,NA,NA,NA,NA,NA,NA
"2017-04-18","CT_Umstead",49,21,25,3.68,NA,22.6,20,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-09-14","CT_Umstead",NA,24,43,5.26,NA,23.3,NA,NA,7.43,88.5,NA,NA,NA,NA,NA,NA,NA,NA
"2017-09-14","NeuseRiver",NA,3.5,11,7.31,NA,24,NA,NA,7.08,83.5,0,0.02,0,NA,0.73,5.3,2.6,0.25
"2017-12-08","CT_Umstead",NA,17,20,9.45,NA,10.9,NA,NA,7.54,99.4,NA,NA,NA,NA,NA,NA,NA,NA
"2017-11-07","CT_WakeForestRd",NA,6.6,330,8.29,NA,16.7,NA,NA,6.91,187.6,NA,NA,NA,NA,NA,NA,NA,NA
"2017-04-18","Pigeon_House",77,8.9,1500,5.13,0,18.7,0,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-06-14","NeuseRiver",NA,4.3,13,7.33,NA,26.6,NA,NA,7.24,79.2,NA,0.03,NA,NA,0.61,NA,NA,0.02
"2017-03-02","CT_Umstead",NA,27,290,11.21,NA,16.3,NA,NA,7.55,249.9,NA,NA,NA,NA,NA,NA,NA,NA
"2017-09-14","Pigeon_House",NA,11,2000,3.95,0,21.3,NA,NA,7.1,314.3,NA,NA,NA,NA,NA,NA,NA,NA
"2017-05-17","CT_WakeForestRd",NA,21,300,7.6,NA,22,NA,NA,7.15,151.1,NA,NA,NA,NA,NA,NA,NA,NA
"2017-07-17","CT_Umstead",28,16,140,1.08,NA,28.9,9.8,NA,6.97,102.6,NA,NA,NA,NA,NA,NA,NA,NA
"2017-09-14","CT_WakeForestRd",NA,16,580,7.83,NA,21.9,NA,NA,7.24,143.8,NA,NA,NA,NA,NA,NA,NA,NA
"2017-10-10","CT_Umstead",50,4.5,27,1.23,NA,24.8,0,NA,7.18,259,NA,NA,NA,NA,NA,NA,NA,NA
"2017-05-17","CT_Umstead",NA,45,13,6.26,NA,24.5,NA,NA,7.39,92.6,NA,NA,NA,NA,NA,NA,NA,NA
"2017-11-07","Pigeon_House",NA,6.3,1400,54.6,0,17.6,NA,NA,6.93,321.7,NA,NA,NA,NA,NA,NA,NA,NA
"2017-07-17","NeuseRiver",24,3.2,20,6.76,NA,29.4,0,NA,7.07,82.5,NA,0.03,NA,NA,0.59,NA,NA,0.06
"2017-01-12","CT_Umstead",29,32,100,13.15,NA,4.9,18,NA,7.4,132.1,NA,NA,NA,NA,NA,NA,NA,NA
"2017-08-15","CT_WakeForestRd",NA,30,950,7.15,NA,27,NA,NA,7,714.2,NA,NA,NA,NA,NA,NA,NA,NA
"2018-07-06","CT_WakeForestRd",48,6,300,5.92,NA,26.5,0,NA,7.15,243.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-14","CT_EbenezerChurch",NA,40,600,13.39,NA,5.2,NA,NA,7.05,148.4,NA,0.11,NA,NA,0.63,NA,NA,0
"2018-08-16","NeuseRiver",NA,3.4,21,6.77,NA,28.9,NA,NA,7.05,96.3,0,0.02,0,NA,0.59,7.4,4.1,0.06
"2018-11-26","CT_WakeForestRd",NA,39,280,11.2,NA,10.2,NA,NA,6.89,102.4,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-13","NeuseRiver",NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,0,0.03,0,NA,0.7,7.8,5,0.16
"2018-03-20","NeuseRiver",NA,NA,NA,12.28,NA,8.5,NA,NA,7.3,88.1,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-13","CT_Umstead",NA,34,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-14","CT_Umstead",NA,40,510,13.86,NA,4.7,NA,NA,6.96,130.9,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-29","NeuseRiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,4.5,4.4,NA
"2018-06-15","NeuseRiver",NA,4.2,5,6.8,NA,27.5,NA,NA,7.09,95.4,0,0.03,0,NA,0.63,8.3,5.9,0.06
"2018-11-19","NeuseRiver",NA,12,100,11.06,NA,13.5,NA,NA,6.89,70.3,0,0.04,0,NA,0.66,4.8,4.3,0.11
"2018-04-04","NeuseRiver",27,6.5,1,10.75,NA,11.3,7,NA,6.98,117,0,0.04,0,NA,0.7,12,9.1,0.1
"2018-03-07","CT_WakeForestRd",NA,15,500,11.24,NA,9,NA,NA,7.03,150.9,NA,NA,NA,NA,NA,NA,NA,NA
"2018-05-07","NeuseRiver",NA,13,4,8.62,NA,17.4,NA,NA,6.85,118.3,0,0.04,0,NA,0.81,12,8.5,0.21
"2018-07-06","NeuseRiver",27,4.6,12,6.62,NA,29.4,0,NA,7.06,96.8,0,0.02,0,NA,0.56,7.9,4.9,0.03
"2018-11-02","CT_EbenezerChurch",29,14,67,7.79,NA,17.6,0,NA,7.14,156.4,NA,0.09,NA,NA,0.67,NA,NA,0.06
"2018-11-02","CT_Umstead",25,34,50,9.1,NA,17,29,NA,7.43,83.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-10-30","NeuseRiver",NA,6.8,4,NA,NA,NA,7.2,NA,NA,NA,0,0.04,0,NA,0.64,5.3,4.3,0
"2018-10-25","NeuseRiver",24,5.1,5,8.66,NA,19.8,0,NA,7.2,72.8,0,0.04,0,NA,0.65,5.5,4.2,0.02
"2018-07-06","CT_Umstead",37,18,120,6.24,NA,30.8,17,NA,7.35,134,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-17","NeuseRiver",NA,11,19,12.11,NA,7.9,NA,NA,6.81,63.8,0,0.04,0,NA,0.64,5,4.3,0.1
"2018-01-11","NeuseRiver",24,3.4,1,NA,NA,NA,0,NA,NA,NA,0,0.02,0,NA,0.68,6,4.2,0.17
"2018-07-26","NeuseRiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,7.9,4.3,NA
"2018-03-07","Pigeon_House",NA,16,2200,7.17,0,9.3,NA,NA,6.86,155.4,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-21","Pigeon_House",NA,NA,NA,7.64,NA,10.1,NA,NA,6.93,276.1,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-26","Pigeon_House",NA,3.3,680,7.9,0,12.6,NA,NA,7.06,310.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-07","CT_EbenezerChurch",NA,12,160,10.9,NA,9.1,NA,NA,7.34,222.2,NA,0.06,NA,NA,0.65,NA,NA,0.06
"2018-11-13","NeuseRiver",NA,4.7,22,NA,NA,NA,0,NA,NA,NA,0,0.04,0,NA,0.68,5.1,4.7,0.08
"2018-03-07","NeuseRiver",NA,6.4,5,11.05,NA,10.9,NA,NA,7.32,79.6,0,0.03,0,NA,0.71,7.6,5.1,0.08
"2018-04-04","Pigeon_House",NA,NA,NA,4.78,NA,14.8,NA,NA,7.11,322.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-10-10","NeuseRiver",NA,3.3,0,7.02,NA,25.3,0,NA,6.85,90.4,0,0.03,0,NA,0.71,6.2,4.4,0.16
"2018-11-02","CT_WakeForestRd",31,11,160,8.99,NA,16.7,6.2,NA,7.19,139.3,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-10","CT_EbenezerChurch",NA,20,180,5.59,NA,28,NA,NA,7.13,136.2,NA,0.1,NA,NA,0.85,NA,NA,0.08
"2018-05-07","Pigeon_House",NA,7.1,1500,3.09,0,18.7,NA,NA,6.78,264.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-09-25","NeuseRiver",NA,2.6,21,NA,NA,NA,0,NA,NA,NA,0,0.02,0,NA,0.65,7.3,3.8,0.13
"2018-01-11","CT_Umstead",30,8.6,12,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-06-15","CT_Umstead",NA,18,21,4.05,NA,27.6,NA,NA,7.13,122.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-06-15","CT_EbenezerChurch",NA,4.1,60,5.31,NA,25.3,NA,NA,7.2,250.2,NA,0.11,NA,NA,0.74,NA,NA,0.06
"2018-05-07","CT_Umstead",NA,50,19,4.34,NA,23,NA,NA,6.99,117.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-07-06","Pigeon_House",91,1.8,1500,3.32,0,24.3,0,NA,7.16,327.3,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-11","CT_EbenezerChurch",51,2.2,60,NA,NA,NA,0,NA,NA,NA,NA,0.06,NA,NA,0.84,NA,NA,0.06
"2018-04-04","CT_WakeForestRd",NA,NA,NA,8.16,NA,17,NA,NA,7.08,208.3,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-20","CT_EbenezerChurch",NA,NA,NA,9.94,NA,11.5,NA,NA,7.23,282.9,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-26","CT_Umstead",NA,55,330,11.26,NA,9,NA,NA,6.87,72.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-11","Pigeon_House",83,4.1,1400,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-05","Pigeon_House",NA,NA,NA,3.42,NA,8.6,NA,NA,6.82,657.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-09-06","CT_WakeForestRd",NA,11,1200,6.65,NA,26.4,NA,NA,7.14,151.2,NA,NA,NA,NA,NA,NA,NA,NA
"2018-09-06","Pigeon_House",NA,1.6,2300,4,0,24,NA,NA,7.09,338.8,NA,NA,NA,NA,NA,NA,NA,NA
"2018-04-04","CT_Umstead",NA,NA,NA,8.01,NA,18.6,NA,NA,7.36,165.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-26","CT_EbenezerChurch",NA,50,120,10.64,NA,10.1,NA,NA,7.05,95.9,NA,0.12,NA,NA,0.73,NA,NA,0.09
"2018-08-10","CT_WakeForestRd",NA,17,580,6.35,NA,27.5,NA,NA,7.18,126.8,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-21","CT_WakeForestRd",NA,NA,NA,10.46,NA,11.6,NA,NA,6.95,238.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-07-06","CT_EbenezerChurch",49,7.4,1400,6.02,NA,26.5,0,NA,7.37,335.9,NA,0.2,NA,NA,0.85,NA,NA,0.05
"2018-08-10","CT_Umstead",NA,27,59,6.94,NA,29.4,NA,NA,7.14,95.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-02","Pigeon_House",92,3.2,240,5.03,0,18.1,0,NA,7.04,317.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-05","CT_WakeForestRd",NA,NA,NA,13.52,NA,3.2,NA,NA,7.03,258.4,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-07","CT_Umstead",NA,20,82,11.3,NA,9.6,NA,NA,7.45,215.4,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-10","Pigeon_House",NA,5.5,2600,3.78,0,23.7,NA,NA,7.2,302.1,NA,NA,NA,NA,NA,NA,NA,NA
"2018-06-15","Pigeon_House",NA,3.7,1500,3.67,0,22.7,NA,NA,7.15,335.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-20","NeuseRiver",NA,NA,NA,13.46,NA,5.1,NA,NA,7.33,83.2,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-07","CT_Umstead",NA,NA,NA,11.42,NA,4.5,NA,NA,7.45,114,NA,NA,NA,NA,NA,NA,NA,NA
"2018-09-06","CT_Umstead",NA,20,14,5.02,NA,29,NA,NA,7.03,84.5,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-14","Pigeon_House",NA,2.9,700,8.35,0,10.1,NA,NA,7.02,271.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-13","CT_EbenezerChurch",NA,15,54,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,0.85,NA,NA,0.14
"2018-09-06","CT_EbenezerChurch",NA,8.3,430,5.77,NA,26.4,NA,NA,7.2,172,NA,0.1,NA,NA,0.68,NA,NA,0.05
"2018-02-13","Pigeon_House",NA,11,1600,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-06-15","CT_WakeForestRd",NA,6.4,190,6.41,NA,24.8,NA,NA,7.12,196.7,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-14","CT_WakeForestRd",NA,31,580,13.48,NA,5.6,NA,NA,7,158.6,NA,NA,NA,NA,NA,NA,NA,NA
"2018-05-07","CT_EbenezerChurch",NA,7.6,170,7.31,NA,19.5,NA,NA,7.15,143.1,NA,0.08,NA,NA,0.58,NA,NA,0.02
"2018-04-04","CT_EbenezerChurch",NA,NA,NA,7.34,NA,17.9,NA,NA,7.17,237.3,NA,NA,NA,NA,NA,NA,NA,NA
"2018-05-07","CT_WakeForestRd",NA,10,580,6.88,NA,20.3,NA,NA,6.98,218.1,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-05","CT_EbenezerChurch",NA,NA,NA,10.91,NA,8.4,NA,NA,7.22,388.3,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-11","CT_WakeForestRd",44,6.8,37,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-03-20","CT_Umstead",NA,NA,NA,10.12,NA,12.1,NA,NA,7.27,216.4,NA,NA,NA,NA,NA,NA,NA,NA
"2018-02-13","CT_WakeForestRd",NA,14,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-03","Pigeon_House",93,2.7,1500,5.8,0,18.9,0,NA,6.8,317,NA,NA,NA,NA,NA,NA,NA,NA
"2019-08-01","Pigeon_House",NA,1.6,1500,10.5,0,24,NA,NA,7.5,358,NA,NA,NA,NA,NA,NA,NA,NA
