"year","month","tmean","tmin","tmax","precip"
"2023","07",27.268798828125,22.1418991088867,32.3957977294922,114.655097961426
"2023","08",26.3313999176025,20.873498916626,31.7894992828369,94.6811981201172
"2023","09",22.3230991363525,16.8722991943359,27.7740001678467,125.538597106934
"2023","10",17.202600479126,11.0188999176025,23.3864994049072,32.2430992126465
"2023","11",10.1584997177124,3.07279992103577,17.2442989349365,58.3916969299316
"2023","12",8.33249950408936,1.57219994068146,15.092999458313,185.753997802734
"1981","01",1.56200003623962,-5.32000017166138,8.44499969482422,29.1539993286133
"1981","02",6.52400016784668,-0.967999994754791,14.0159997940063,84.7360000610352
"1981","03",8.40900039672852,0.773999989032745,16.0459995269775,53.8959999084473
"1981","04",17.3870010375977,9.73600006103516,25.0380001068115,17.3169994354248
"1981","05",18.3980007171631,11.21399974823,25.5849990844727,71.068000793457
"1981","06",26.2430019378662,19.8780002593994,32.609001159668,59.9249992370605
"1981","07",26.2840003967285,20.3470001220703,32.2229995727539,97.9789962768555
"1981","08",23.5930004119873,17.8920001983643,29.2950000762939,144.404006958008
"1981","09",20.5880012512207,13.7950000762939,27.3810005187988,61.3139991760254
"1981","10",14.4690008163452,6.96000003814697,21.9790000915527,94.2620010375977
"1981","11",10.2130002975464,2.91199994087219,17.5160007476807,23.0779991149902
"1981","12",4.06700038909912,-1.8400000333786,9.97500038146973,109.052001953125
"1982","01",1.11300003528595,-4.43900012969971,6.66699981689453,146.087005615234
"1982","02",7.67700052261353,1.73699998855591,13.6190004348755,132.328994750977
"1982","03",10.4380006790161,3.80800008773804,17.0699996948242,80.2259979248047
"1982","04",14.2610006332397,7.30399990081787,21.2199993133545,85.2360000610352
"1982","05",21.3560009002686,14.2030000686646,28.5100002288818,104.504997253418
"1982","06",23.4130020141602,17.9759998321533,28.8519992828369,181.037994384766
"1982","07",25.8760013580322,20.5709991455078,31.181999206543,98.8690032958984
"1982","08",24.2550010681152,18.5960006713867,29.9139995574951,111.342002868652
"1982","09",20.8320007324219,14.6820001602173,26.9829998016357,50.1040000915527
"1982","10",15.3150005340576,9.18400001525879,21.4479999542236,95.8840026855469
"1982","11",11.617000579834,4.76599979400635,18.4699993133545,46.4679985046387
"1982","12",8.98800086975098,3.04699993133545,14.9300003051758,107.400001525879
"1983","01",3.64400029182434,-1.23500001430511,8.52499961853027,48.0999984741211
"1983","02",5.29600048065186,-0.595000028610229,11.1879997253418,151.475006103516
"1983","03",11.0510005950928,5.05800008773804,17.0459995269775,180.97900390625
"1983","04",13.1510009765625,6.83900022506714,19.4640007019043,95.5370025634766
"1983","05",19.4120006561279,12.8800001144409,25.9440002441406,127.394996643066
"1983","06",23.2310009002686,16.7320003509521,29.7310009002686,98.4219970703125
"1983","07",26.5500011444092,19.8549995422363,33.2470016479492,42.806999206543
"1983","08",26.6800022125244,19.7549991607666,33.6059989929199,57.242000579834
"1983","09",22.1470012664795,15.2329998016357,29.0620002746582,72.3349990844727
"1983","10",16.1080017089844,10.0539999008179,22.1630001068115,95.1949996948242
"1983","11",10.653000831604,3.74900007247925,17.5580005645752,87.9469985961914
"1983","12",4.51700019836426,-1.52300000190735,10.5579996109009,166.102996826172
"1984","01",2.81100010871887,-2.92199993133545,8.54399967193604,112.224998474121
"1984","02",8.23300075531006,1.61600005626678,14.8500003814697,139.516998291016
"1984","03",8.67600059509277,1.9099999666214,15.4440002441406,161.395004272461
"1984","04",13.653000831604,7.49300003051758,19.8139991760254,107.124000549316
"1984","05",19.5800018310547,12.9309997558594,26.2310009002686,197.651000976562
"1984","06",24.5580005645752,18.2220001220703,30.8950004577637,89.6510009765625
"1984","07",24.6720008850098,19.7779998779297,29.568000793457,220.72200012207
"1984","08",24.8980007171631,19.4389991760254,30.3579998016357,38.5190010070801
"1984","09",20.2680015563965,14.2580003738403,26.2779998779297,43.9550018310547
"1984","10",19.193000793457,13.4919996261597,24.8959999084473,57.6580009460449
"1984","11",8.5910005569458,1.29100000858307,15.8929996490479,34.8870010375977
"1984","12",9.54000091552734,2.65799999237061,16.4230003356934,58.8899993896484
