"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Monday",21,"October",2019,"N KING CHARLES RD","No Special Feature","Clear","No control present"
"Sunday",27,"October",2019,"FALLS OF NEUSE RD","T-intersection","Clear","Stop sign"
"Wednesday",30,"October",2019,"BRENT RD","No Special Feature","Cloudy","No control present"
"Friday",1,"November",2019,"SUNNYBROOK RD","No Special Feature","Clear","Other*"
"Tuesday",5,"November",2019,"SPRING FOREST RD","No Special Feature","Clear","No control present"
"Sunday",10,"November",2019,"LITTLE JOHN RD","No Special Feature","Clear","No control present"
"Monday",11,"November",2019,"ROCK  QUARRY RD","No Special Feature","Clear","No control present"
"Wednesday",20,"November",2019,"CAPITAL  BLVD","No Special Feature","Clear","No control present"
"Friday",29,"November",2019,"CAROLINA PINES AVE","No Special Feature","Clear","Stop sign"
"Monday",16,"December",2019,"AVENT FERRY RD","T-intersection","Clear","Stop sign"
"Monday",16,"December",2019,"FALLS  OF NEUSE RD","T-intersection","Clear","Stop sign"
"Wednesday",18,"December",2019,"GLENWOOD AVE","No Special Feature","Clear","Stop and go signal"
"Thursday",19,"December",2019,"NEW  BERN AVE","No Special Feature","Clear","Stop and go signal"
"Thursday",26,"December",2019,"WIDE RIVER DR","Four-way intersection","Clear","Stop and go signal"
"Wednesday",1,"January",2020,"TRIANGLE TOWN BLVD","No Special Feature","Clear","No control present"
"Tuesday",7,"January",2020,"S MCDOWELL ST","Related to intersection","Cloudy","Stop and go signal"
"Saturday",11,"January",2020,"LAKE WHEELER RD","Off-ramp terminal on crossroad","Clear","Yied sign"
"Wednesday",15,"January",2020,"WOODBURN RD","No Special Feature","Clear","Stop sign"
"Saturday",25,"January",2020,"MARCOM ST","No Special Feature","Clear","No control present"
"Monday",27,"January",2020,"DURALEIGH RD","Alley intersection","Rain","Stop sign"
"Thursday",30,"January",2020,"HILLSBOROUGH ST","No Special Feature","Clear","Stop and go signal"
"Monday",10,"February",2020,"WESTERN  BLVD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",11,"February",2020,"FAYETTEVILLE ST","T-intersection","Clear","Stop sign"
"Saturday",21,"March",2020,"40","No Special Feature","Clear","No control present"
"Monday",5,"December",2016,"SUNNYBROOK RD","Other","Clear","Yied sign"
"Sunday",2,"July",2017,"HILLSBOROUGH ST","Four-way intersection","Clear","Stop and go signal"
"Tuesday",28,"May",2019,"ILEAGNES RD","Driveway, public","Clear","No control present"
"Thursday",5,"December",2019,"SHANDA DR","No Special Feature","Clear","Stop and go signal"
"Thursday",5,"March",2020,"ASHE AVE","T-intersection","Rain","No control present"
"Thursday",9,"April",2020,"3000 CAPITAL BLVD","Driveway, public","Clear","No control present"
"Friday",17,"April",2020,"ZACHARY BROOK LN","T-intersection","Clear","Stop sign"
"Thursday",23,"April",2020,"WINDY HILL DR","No Special Feature","Clear","Double yellow line (no passing zone)"
"Sunday",3,"May",2020,"SANDY FORKS RD","No Special Feature","Clear","Flashing stop and go signal"
"Wednesday",6,"May",2020,"PERRY CREEK RD","No Special Feature","Clear","No control present"
"Monday",11,"May",2020,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Sunday",21,"June",2020,"KEITH DRIVE","Bridge","Clear","No control present"
"Monday",24,"August",2020,"PERRY CREEK RD","No Special Feature","Clear","Stop and go signal"
"Tuesday",30,"June",2020,"CLUBVALLEY WAY","T-intersection","Cloudy","Stop sign"
"Sunday",12,"July",2020,"NEW BERN AVE","No Special Feature","Clear","Flashing signal without stop sign"
"Thursday",23,"July",2020,"PERRY CREEK RD","No Special Feature","Clear","Stop and go signal"
"Friday",24,"July",2020,"METHOD RD","No Special Feature","Clear","No control present"
"Sunday",26,"July",2020,"SIX FORK RD","No Special Feature","Clear","Other*"
"Monday",10,"August",2020,"NEUSE CROSSING DR","T-intersection","Clear","No control present"
"Sunday",16,"August",2020,"TRAILWOOD DR","No Special Feature","Clear","Warning sign"
"Tuesday",18,"August",2020,"PERSON ST","No Special Feature","Clear","Stop and go signal"
"Thursday",3,"September",2020,"POWELL DR","No Special Feature","Clear","Stop and go signal"
"Friday",11,"September",2020,"CENTENNIAL PKWY","No Special Feature","Clear","Stop and go signal"
"Sunday",20,"September",2020,"421 CHAPANOKE RD","No Special Feature","Clear","No control present"
"Sunday",20,"September",2020,"W MILLBROOK RD","No Special Feature","Clear","Other*"
"Thursday",1,"October",2020,"LONGITUDE WAY","No Special Feature","Clear","No control present"
"Thursday",15,"October",2020,"SKINNER DRIVE","No Special Feature","Clear","No control present"
"Monday",19,"October",2020,"CAPITAL BLVD","No Special Feature","Clear","No control present"
"Wednesday",18,"November",2020,"NORTHCLIFT DR","No Special Feature","Clear","No control present"
"Tuesday",24,"November",2020,"PERSON ST","Four-way intersection","Clear","Stop and go signal"
"Friday",27,"November",2020,"N RALEIGH BLVD","Four-way intersection","Clear","Stop sign"
"Friday",11,"December",2020,"WAKEFIELD CROSSING DR","No Special Feature","Clear","Stop sign"
"Friday",11,"December",2020,"FALLS OF NEUSE RD","Four-way intersection","Clear","Stop and go signal"
"Thursday",14,"January",2021,"WADFORD DR","No Special Feature","Clear","No control present"
"Saturday",16,"January",2021,"W SOUTH ST","No Special Feature","Clear","No control present"
"Tuesday",16,"February",2021,"BEECHRIDGE RD","Related to intersection","Clear","Stop sign"
"Saturday",20,"February",2021,"314 S BLOUNT ST","Driveway, public","Clear","No control present"
"Sunday",21,"February",2021,"CARDINAL GROVE BLVD.","Four-way intersection","Clear","Stop sign"
"Tuesday",23,"February",2021,"KING CHARLES RD","Four-way intersection","Clear","Stop and go signal"
"Wednesday",24,"February",2021,"HILLSBOROUGH ST","Traffic circle/roundabout","Clear","No control present"
"Thursday",25,"February",2021,"S PERSON ST","No Special Feature","Clear","No control present"
"Tuesday",2,"March",2021,"HILLSBOROUGH  ST","Traffic circle/roundabout","Clear","Yied sign"
"Monday",15,"March",2021,"REEDY CREEK RD","No Special Feature","Clear","No control present"
"Tuesday",30,"March",2021,"HORNE ST","T-intersection","Clear","Stop and go signal"
"Thursday",1,"April",2021,"BLUE RIDGE RD","No Special Feature","Clear","Stop and go signal"
"Sunday",11,"April",2021,"STATE ST","No Special Feature","Clear","Stop sign"
"Monday",12,"April",2021,"S DAWSON ST","No Special Feature","Clear","No control present"
"Friday",16,"April",2021,"BERYL RD","No Special Feature","Clear","No control present"
"Monday",26,"April",2021,"WESTING HOUSE BLVD","No Special Feature","Clear","No control present"
"Saturday",1,"May",2021,"HILLSBOROUGH ST","T-intersection","Clear","No control present"
"Friday",14,"May",2021,"AVENT FERRY RD","T-intersection","Clear","No control present"
"Sunday",23,"May",2021,"HILLSBOROUGH ST","Four-way intersection","Clear","Stop and go signal"
"Tuesday",25,"May",2021,"SIX FORKS RD","No Special Feature","Clear","No control present"
"Friday",28,"May",2021,"S NEW HOPE RD","Four-way intersection","Clear","Stop and go signal"
"Sunday",30,"May",2021,"NEW HOPE CHURCH RD","No Special Feature","Clear","Stop and go signal"
"Saturday",5,"June",2021,"ASHE AVE","T-intersection","Clear","Stop sign"
"Wednesday",9,"June",2021,"HOPPER ST","Four-way intersection","Clear","Stop sign"
"Sunday",20,"June",2021,"GRANTLAND DR","Four-way intersection","Rain","No control present"
"Friday",25,"June",2021,"N PERSON ST","No Special Feature","Cloudy","No control present"
"Tuesday",6,"July",2021,"MELVID CT","No Special Feature","Clear","No control present"
"Tuesday",13,"July",2021,"SPRING FOREST RD","No Special Feature","Clear","Stop and go signal"
"Thursday",22,"July",2021,"PINCREST RD","Four-way intersection","Clear","No control present"
"Sunday",1,"August",2021,"N NEW HOPE RD","No Special Feature","Clear","NaN"
"Saturday",7,"August",2021,"ARCHEAN WAY","No Special Feature","Clear","No control present"
"Thursday",12,"August",2021,"HIGHWOODS BLVD","No Special Feature","Clear","No control present"
"Monday",16,"August",2021,"BATTELFORD DR","No Special Feature","Cloudy","Stop sign"
"Monday",23,"August",2021,"ROCK  QUARRY  RD","No Special Feature","Clear","Stop and go signal"
"Friday",27,"August",2021,"5301 GLENWOOD AVE","No Special Feature","Clear","No control present"
"Friday",3,"September",2021,"E. LANE STREET","No Special Feature","Clear","No control present"
"Tuesday",7,"September",2021,"CENTENNIAL PKWY","No Special Feature","Clear","No control present"
"Tuesday",7,"September",2021,"TRAILWOOD DR","T-intersection","Clear","Stop and go signal"
"Friday",10,"September",2021,"AVENT FERRY RD","T-intersection","Clear","No control present"
"Saturday",25,"September",2021,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Wednesday",29,"September",2021,"AVENT FERRY RD","No Special Feature","Clear","Stop and go signal"
"Friday",1,"October",2021,"HILLSBOROUGH ST","No Special Feature","Clear","Stop and go signal"
"Sunday",3,"October",2021,"WILDWOOD FOREST DR","T-intersection","Clear","Stop sign"
"Monday",4,"October",2021,"401 GLENWOOD AVE","No Special Feature","Clear","No control present"
"Wednesday",6,"October",2021,"WESTERN  BLVD","No Special Feature","Clear","No control present"
"Saturday",9,"October",2021,"GLENWOOD  AVE","No Special Feature","Rain","Stop and go signal"
"Tuesday",12,"October",2021,"NEW BERN AVE","Four-way intersection","Clear","No control present"
"Tuesday",12,"October",2021,"SPRING FOREST RD","Four-way intersection","Clear","Stop and go signal"
"Saturday",16,"October",2021,"E SOUTH ST","Four-way intersection","Clear","Stop and go signal"
"Friday",15,"October",2021,"CREEDMOOR RD","No Special Feature","Clear","Stop and go signal"
"Monday",18,"October",2021,"FAYETTEVILLE ST","No Special Feature","Clear","No control present"
"Wednesday",20,"October",2021,"ST MARYS STREET","No Special Feature","Clear","No control present"
"Friday",22,"October",2021,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Wednesday",27,"October",2021,"S SALISBURY ST","No Special Feature","Clear","No control present"
"Wednesday",3,"November",2021,"BRIER CREEK PARKWAY","T-intersection","Clear","Stop and go signal"
"Tuesday",9,"November",2021,"GLENWOOD AVE","No Special Feature","Clear","No control present"
"Wednesday",10,"November",2021,"W PEACE ST","No Special Feature","Clear","Stop and go signal"
"Saturday",13,"November",2021,"TRAILWOOD DR","Four-way intersection","Clear","Stop and go signal"
"Saturday",13,"November",2021,"HARGETT ST","No Special Feature","Clear","Stop and go signal"
"Saturday",20,"November",2021,"CAPITAL BLVD","T-intersection","Clear","No control present"
"Tuesday",23,"November",2021,"RALEIGH BLVD","No Special Feature","Clear","No control present"
"Friday",26,"November",2021,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Monday",6,"December",2021,"KYLE DR","No Special Feature","Clear","No control present"
"Tuesday",14,"December",2021,"OBERLIN RD","T-intersection","Clear","Stop sign"
"Saturday",1,"January",2022,"HOKE ST","No Special Feature","Clear","Stop sign"
"Saturday",15,"January",2022,"FALLS OF NEUSE RD","No Special Feature","Cloudy","No control present"
"Sunday",30,"January",2022,"NAVAHO DR","No Special Feature","Clear","No control present"
"Friday",11,"February",2022,"N BOYLAN AVENUE","No Special Feature","Clear","Stop and go signal"
"Monday",21,"February",2022,"RIDGE RD","No Special Feature","Clear","No control present"
"Wednesday",23,"February",2022,"TRYON RD","T-intersection","Clear","No control present"
"Friday",18,"February",2022,"BAGWELL AVE","No Special Feature","Clear","No control present"
"Wednesday",2,"March",2022,"BLOUNT ST","T-intersection","Clear","No control present"
"Wednesday",2,"March",2022,"WINDJAMMER DR","Four-way intersection","Clear","Stop sign"
"Wednesday",16,"March",2022,"S MCDOWELL ST","No Special Feature","Clear","Stop and go signal"
"Saturday",19,"March",2022,"WILMINGTON ST","No Special Feature","Clear","Stop and go signal"
"Thursday",24,"March",2022,"5103 WESTERN BLVD","Other","Clear","NaN"
"Friday",25,"March",2022,"SIX FORKS RD","T-intersection","Clear","Stop sign"
"Wednesday",30,"March",2022,"S BOYLAN AVE","Four-way intersection","Clear","Stop and go signal"
"Friday",1,"April",2022,"TALL PINES CT","No Special Feature","Clear","No control present"
"Sunday",3,"April",2022,"WESTGATE RD","No Special Feature","Clear","No control present"
"Monday",11,"April",2022,"715 NAZARETH ST","Driveway, public","Clear","No control present"
"Thursday",14,"April",2022,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Thursday",21,"April",2022,"BARRYMORE ST","T-intersection","Clear","Stop sign"
"Monday",25,"April",2022,"REEDY CREEK RD","Four-way intersection","Clear","Stop and go signal"
"Thursday",5,"May",2022,"CLARK AVE","No Special Feature","Clear","Stop and go signal"
"Thursday",26,"May",2022,"PERRY CREEK RD","T-intersection","Clear","Stop sign"
"Saturday",28,"May",2022,"NEW HOPE CHURCH RD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",31,"May",2022,"N HARRINGTON ST","No Special Feature","Clear","Stop and go signal"
"Friday",3,"June",2022,"EDWARDS MILL RD","No Special Feature","Clear","No control present"
"Sunday",5,"June",2022,"ASHE AVE","No Special Feature","Clear","Stop sign"
"Wednesday",8,"June",2022,"OLD LOUISBURG RD","No Special Feature","Clear","No control present"
"Saturday",4,"June",2022,"ARBOR OAKS LN","No Special Feature","Clear","No control present"
"Wednesday",15,"June",2022,"NORTH HILLS DR","No Special Feature","Clear","Stop sign"
"Thursday",23,"June",2022,"TARBORO RD","T-intersection","Clear","Stop and go signal"
"Friday",24,"June",2022,"EDWARDS MILL RD","Four-way intersection","Clear","Stop and go signal"
"Saturday",9,"July",2022,"BLUE RIDGE RD","Four-way intersection","Clear","Stop and go signal"
"Monday",18,"July",2022,"CAPITAL  BLVD","No Special Feature","Clear","No control present"
"Tuesday",2,"August",2022,"FALLS OF NEUSE RD","T-intersection","Clear","Stop sign"
"Monday",18,"July",2022,"RIDGEFIELD DR","No Special Feature","Clear","Stop sign"
"Saturday",6,"August",2022,"4720 COURTNEY LN","No Special Feature","Clear","No control present"
"Tuesday",16,"August",2022,"4105 WAKE FOREST ROAD","Driveway, public","Clear","No control present"
"Saturday",13,"August",2022,"RALEIGH BLVD","No Special Feature","Clear","Stop and go signal"
"Tuesday",6,"September",2022,"CREEDMOOR RD","No Special Feature","Cloudy","No control present"
"Wednesday",7,"September",2022,"CARY TOWNE BLVD","No Special Feature","Clear","Stop and go signal"
"Thursday",8,"September",2022,"AVENT FERRY RD","No Special Feature","Clear","No control present"
"Friday",23,"September",2022,"SHANTA DR","No Special Feature","Clear","Stop sign"
"Saturday",8,"October",2022,"EAST ST","No Special Feature","Clear","No control present"
"Sunday",16,"October",2022,"SIX FORK RD","NaN","Clear","NaN"
"Sunday",6,"November",2022,"ACHIEVEMENT DR","T-intersection","Clear","Stop and go signal"
"Sunday",13,"November",2022,"S SAUNDERS ST","No Special Feature","Clear","No control present"
"Friday",18,"November",2022,"N NEW HOPE  RD","No Special Feature","Clear","Stop and go signal"
"Friday",6,"January",2023,"WOODBURN RD","No Special Feature","Clear","No control present"
"Wednesday",11,"January",2023,"WAKEFIELD CROSSING DR","Four-way intersection","Clear","Stop sign"
"Wednesday",18,"January",2023,"WESTERN  BLVD","No Special Feature","Clear","Stop and go signal"
"Wednesday",18,"January",2023,"6647 FALLS OF NEUSE RD","No Special Feature","Cloudy","NaN"
"Thursday",26,"January",2023,"TRAILWOOD DR","Four-way intersection","Cloudy","Stop and go signal"
"Monday",16,"January",2023,"LEAD MINE RD","No Special Feature","Clear","Stop and go signal"
"Saturday",4,"February",2023,"HUNT DR","No Special Feature","Clear","Stop sign"
"Tuesday",7,"February",2023,"S BLOUNT ST","Four-way intersection","Clear","Stop and go signal"
"Monday",13,"March",2023,"CAMERON ST","No Special Feature","Rain","No control present"
"Friday",31,"March",2023,"TRAWICK RD","No Special Feature","Clear","Stop and go signal"
"Monday",3,"April",2023,"VILLAGE BLUFF PL","Driveway, private","Clear","Stop sign"
"Thursday",6,"April",2023,"HILLSBOROUGH ST","Four-way intersection","Cloudy","Stop and go signal"
"Thursday",27,"April",2023,"CAPITAL  BLVD","No Special Feature","Clear","Stop and go signal"
"Thursday",27,"April",2023,"ATLANTIC  AVE","Four-way intersection","Rain","Stop and go signal"
"Tuesday",2,"May",2023,"SPRINGFIELD COMMONS DR","No Special Feature","Clear","Stop sign"
"Thursday",4,"May",2023,"WESTERN  BLVD","No Special Feature","Clear","No control present"
"Sunday",7,"May",2023,"N BLOODWORTH","Four-way intersection","Clear","Stop sign"
"Thursday",11,"May",2023,"9910 PINEVILLE RD","No Special Feature","Clear","No control present"
"Friday",9,"June",2023,"HOYLE DR","T-intersection","Clear","No control present"
"Sunday",11,"June",2023,"4800 SIX FORKS RD","No Special Feature","Clear","No control present"
"Saturday",17,"June",2023,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Friday",7,"July",2023,"FALLS  OF NEUSE RD","T-intersection","Clear","Stop and go signal"
"Friday",7,"July",2023,"COOKE ST","Four-way intersection","Clear","Stop sign"
"Wednesday",5,"July",2023,"HARGETT ST","No Special Feature","Clear","Stop and go signal"
"Wednesday",12,"July",2023,"GLENWOOD AVE","No Special Feature","Clear","No control present"
"Thursday",20,"July",2023,"N NEW HOPE  RD","No Special Feature","Clear","Stop sign"
"Wednesday",26,"July",2023,"PRINCETON CREEK LN","Four-way intersection","Clear","No control present"
"Sunday",30,"July",2023,"CRAB ORCHARD DR","No Special Feature","Clear","NaN"
"Friday",4,"August",2023,"WAKE FOREST RD","No Special Feature","Cloudy","Stop sign"
"Tuesday",8,"August",2023,"PERRY CREEK RD","Four-way intersection","Clear","Stop and go signal"
"Wednesday",9,"August",2023,"ST ALBANS DR","No Special Feature","Clear","No control present"
"Friday",18,"August",2023,"2815 S SAUNDERS ST","Driveway, public","Clear","No control present"
"Wednesday",30,"August",2023,"CAPITAL BLVD","No Special Feature","Rain","No control present"
"Friday",1,"September",2023,"TRYON RD","No Special Feature","Clear","No control present"
"Friday",8,"September",2023,"PETERSON ST","No Special Feature","Rain","No control present"
"Thursday",14,"September",2023,"2100 YONKERS RD","No Special Feature","Clear","No control present"
"Tuesday",5,"September",2023,"W PEACE ST","Four-way intersection","Clear","Stop and go signal"
"Sunday",17,"September",2023,"DAVIE ST","No Special Feature","Clear","Stop sign"
"Saturday",12,"August",2023,"CAPITAL BLVD","No Special Feature","Clear","Stop and go signal"
"Monday",2,"October",2023,"CLARK AVE","Four-way intersection","Clear","Stop sign"
"Friday",13,"October",2023,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Friday",13,"October",2023,"LUMLEY RD","Four-way intersection","Clear","Stop and go signal"
"Friday",13,"October",2023,"GARNER RD","No Special Feature","Clear","No control present"
"Friday",20,"October",2023,"4750 CAPITAL BLVD","Driveway, public","Clear","No control present"
"Saturday",21,"October",2023,"YOUTH CENTER DR","Alley intersection","Clear","No control present"
"Tuesday",14,"November",2023,"HILLSBOROUGH ST","No Special Feature","Clear","Stop and go signal"
"Saturday",18,"November",2023,"CAROLINA PINES AVE","No Special Feature","Clear","No control present"
"Saturday",13,"January",2024,"LOUISBURG RD","No Special Feature","Cloudy","No control present"
