"county","census_tract","population","ozone_pollution","particle_pollution","cancer_life_prob","disposal_area","lead_area","park_area","walkability","highway_area","impaired_water","minority","minority_category","poverty","uninsured","no_high_school","unemployed","high_blood_pressure","asthma","cancer","mental_health","diabetes","env_burden_rank","health_vuln_rank","social_vuln_rank","env_justice_rank"
"Union",210.04,6893,0,9.68,37.08,0,0,0,3.67,0,0,18.9,"less_25",8.2886,3.8,5.2,3.8,26.6,8.7,5.9,11.6,7.6,0.1482,0,0.0559,0.016
"Union",210.05,4739,0,9.55,35.17,0,0,0,4.56,0,10.1,15.5,"less_25",25.1166,9.4,13.3,5.6,33.2,9.6,6.9,13.7,10.6,0.161,0,0.4086,0.1223
"Union",210.06,5832,0.67,9.94,38.32,0,0,0,7.58,0,39.17,15.6,"less_25",6.4472,3.1,2.5,1.3,24.6,8.2,5.8,9.9,6.5,0.1973,0,0.021,0.0182
"Union",210.07,6711,0.67,9.91,38.37,0,0,0,7.58,1.01,39,30.8,"btwn_25_50",8.7915,3.6,2.9,3,24.2,7.9,5.6,9.3,6.7,0.2249,0,0.0185,0.0227
"Union",210.08,10069,0.33,9.81,37.94,0,0,0,7.28,0,21.52,32.4,"btwn_25_50",7.2996,1.4,3.1,1.6,24.3,8,5.7,9.5,6.5,0.137,0,0.0107,0.0088
"Union",210.09,3963,0.33,9.8,37.81,0,0,0,8.67,0,0.2,37.5,"btwn_25_50",4.2392,3,2.7,2.5,24.5,8.2,5.4,10.1,6.6,0.0962,0,0.0086,0.005
"Union",210.1,8125,0.33,9.9,38.38,0,0,10.8,7.11,0.79,5.84,14.5,"less_25",7.3723,1.8,4.7,2.2,29,8.2,7.2,9.8,8.1,0.1401,0,0.0383,0.0128
"Union",210.11,6862,0.33,9.8,37.76,0,0,0,7.61,0,0,20.6,"less_25",6.0332,8.7,3,2.6,25.6,8.3,5.9,10.3,6.9,0.0972,0,0.0681,0.0112
"Union",210.12,5313,0,9.72,37.28,0,0,0,5.75,0,0.04,8.8,"less_25",9.5803,5.1,3.2,4.9,26.1,8.4,6.1,10.5,7,0.1317,0,0.0569,0.0139
"Union",210.13,5849,0.33,9.69,36.93,0,0,0,8,0,7.26,22.6,"less_25",9.5719,4.2,2.9,2.6,26.8,8.8,5.6,11.7,7.5,0.1935,0,0.118,0.0364
"Union",210.14,2664,0,9.61,36.69,0,0,0,6.17,0.07,5.48,18.4,"less_25",32.9394,7,11.8,4.7,32.4,9.8,6.8,14.1,10.5,0.2162,0,0.5726,0.231
"Union",210.15,4943,0,9.5,35.16,0,0,6.47,3.67,8.47,1.86,15.7,"less_25",19.4267,12.7,6,2.7,34.3,9,8.2,12,10.6,0.2255,0.2,0.2388,0.166
"Vance",9601,4051,0,8.9,32.19,0,0,14.73,5.33,29.28,5.93,53.2,"btwn_50_75",47.0995,8.2,13.2,8,42.6,10.9,7.3,15,16.1,0.177,0.6,0.8787,0.6919
"Vance",9602,4015,0,8.87,31.48,0,0,3.78,2.5,0,14.11,55.6,"btwn_50_75",39.7439,5.3,18.4,10.7,43.4,11.5,7,15.9,17.2,0.0441,0.8,0.7516,0.666
"Vance",9603,5127,0,9.11,33.27,0,0,0.23,7,28.3,8.6,36.7,"btwn_25_50",40.628,7.1,17.4,9.4,38.6,10.9,7.1,15.4,14.6,0.341,0.6,0.8165,0.7338
"Vance",9604,4240,0,9.14,33.6,0,0,0,6.11,45.72,0,52,"btwn_50_75",31.7191,11.6,10.7,4.2,44,10.1,9.5,12.9,14.7,0.3082,0.6,0.7192,0.6799
"Vance",9605,4379,0,9.1,33.77,0,0,0,11.03,96.86,12.36,78.4,"greater_75",48.1436,11.9,23.4,3.3,51.6,12.8,7.7,18,21.3,0.4108,1,0.9539,0.9234
"Vance",9606,1545,0,9.06,33.84,0,0,0,9.17,100,3.35,86.7,"greater_75",63.9844,14.7,36.3,10.6,42.1,12.8,5.8,19.4,17.2,0.4918,0.8,0.9715,0.8971
"Vance",9607,4206,0,9.09,33.59,0,0,0,7.43,100,0.02,92.6,"greater_75",73.8469,8.1,29.2,20.5,51.3,14.2,5.9,20.7,22.8,0.5816,0.8,0.9747,0.9213
"Vance",9608,2338,0,9.13,33.32,0,0,0,5.83,70.09,0,81.8,"greater_75",74.0198,20.2,27.2,19.6,45.2,12.5,6.1,19.4,19.3,0.714,0.8,0.9996,0.9588
"Vance",9609,8840,0,9.06,32.72,0,0,0,4.38,15.91,1.14,56.6,"btwn_50_75",48.8254,16.1,18.2,5.7,39.3,11.4,5.8,17.4,14.7,0.3561,0.8,0.8618,0.8265
"Vance",9610,5738,0,9.27,32.88,0,0,0,4.78,33.88,0,48.8,"btwn_25_50",44.0447,7.2,20.7,6.1,39.1,11.4,6,17.3,14,0.3998,0.8,0.8796,0.8453
"Wake",501,4251,0,10.15,38.8,17.81,0,100,18.67,100,44.52,36.1,"btwn_25_50",17.0393,6.3,7,1.5,30.6,8.6,4.8,12.2,8.7,0.6621,0,0.2066,0.2761
"Wake",503,3350,0,10.17,38.41,0,0,100,18.08,100,47.61,14.4,"less_25",23.3134,4.5,4.5,3.3,28.3,8.5,5.9,11.6,8.3,0.4724,0,0.1941,0.1672
"Wake",504,2045,0,10.17,38,0,0,100,17.92,100,47.74,26.4,"btwn_25_50",20.9247,2.8,2.9,2,24.6,9.5,5.1,12.7,6.8,0.5126,0,0.0482,0.1187
"Wake",505,3690,0,10.15,38.14,0,0,100,15,99.58,47.74,30.1,"btwn_25_50",29.6802,9.6,7.6,1.9,29.5,9.4,5.7,12.9,8.7,0.5776,0,0.3984,0.3406
"Wake",506,3645,0,10.14,38.15,0,0,100,15,54.33,46.15,62.7,"btwn_50_75",49.5156,9.2,8.3,8.6,32.9,11.8,3.9,17.6,11.3,0.4084,0.4,0.7031,0.6283
"Wake",507,3142,0,10.12,38.06,15.9,0,100,14.72,58.33,42.45,77.9,"greater_75",48.5814,13.5,14.5,11.8,45.3,11.3,6.1,14.4,17.1,0.5535,0.6,0.8653,0.8269
"Wake",508,4090,0,10.11,38.02,95.7,0,100,13.44,97.26,42.22,78.3,"greater_75",72.6252,20.4,27.7,13.7,37.9,13.8,4.1,22.9,15,0.7418,0.8,0.9542,0.9552
"Wake",509,3193,0,10.13,38.77,99.18,0,100,16.61,100,42.22,76.9,"greater_75",64.4573,17.4,25.1,10.5,35.6,13.1,3.5,20.4,13,0.7235,0.8,0.9421,0.9476
"Wake",510,2576,0,10.16,38.36,1.66,0,100,17.08,100,42.32,24.4,"less_25",28.6051,4.6,5,3.2,22,8.6,3.9,13.1,6.1,0.7315,0,0.3325,0.3926
"Wake",511.01,5363,0,10.19,37.96,12.43,0,100,14.61,90.95,42.22,30,"btwn_25_50",62.3213,4.9,16.7,5.7,15.6,11.1,1.5,22.3,4.3,0.6774,0.4,0.5258,0.6694
"Wake",511.02,4977,0,10.17,37.7,21.26,0,100,14.11,45.83,42.22,27.2,"btwn_25_50",79.1045,1.5,33.1,2.8,15.4,11.4,1.3,24.3,4.8,0.6928,0.4,0.614,0.7131
"Wake",512,4805,0,10.18,38.33,0,0,100,18.06,100,46.66,13.3,"less_25",25.9644,5.9,2.9,0.8,19.9,8.4,4.4,12.3,5.1,0.5007,0,0.2253,0.1972
"Wake",514,4937,0,10.2,37.84,0,0,100,14.53,100,46.56,14,"less_25",31.5596,3.7,3.4,8.7,21.7,8.8,4.6,13.3,5.6,0.4815,0,0.2329,0.1911
