"county","census_tract","population","ozone_pollution","particle_pollution","cancer_life_prob","disposal_area","lead_area","park_area","walkability","highway_area","impaired_water","minority","minority_category","poverty","uninsured","no_high_school","unemployed","high_blood_pressure","asthma","cancer","mental_health","diabetes","env_burden_rank","health_vuln_rank","social_vuln_rank","env_justice_rank"
"Alamance",201,4058,0,9.52,36.42,0,0,100,10.54,100,41.91,40.5,"btwn_25_50",46.379,11.3,14.2,8.4,36.5,10.5,7.1,15.7,13,0.5782,0.8,0.8754,0.8946
"Alamance",202,4093,0,9.52,35.58,0,0,100,8.58,99.37,10.64,63.9,"btwn_50_75",74.3074,16.8,28.1,10.5,40.5,11.7,6.3,19.1,17,0.5599,0.8,0.9821,0.9179
"Alamance",203,7400,0,9.51,34.74,0,0,98.72,7.33,85.16,8.66,75.2,"greater_75",58.47,21.3,26.5,6.2,40.5,10.8,7.2,16.3,15.9,0.6145,0.8,0.9818,0.9314
"Alamance",204,6746,0,9.47,34.88,0,0,63.31,6.27,30.05,14.09,81.2,"greater_75",59.0714,16.6,17.5,8.3,44.7,11.8,6.1,17.2,18.8,0.308,0.8,0.9778,0.8472
"Alamance",205.01,3819,0.33,9.49,34.52,0,0,8.12,6.75,0,29.82,30,"btwn_25_50",36.5298,13,8.4,8.9,33.2,10.2,6.5,15.4,11,0.41,0,0.6804,0.4081
"Alamance",205.02,4012,0,9.48,35.07,0,0,81.08,7.56,24.44,10.4,69,"btwn_50_75",46.1422,16.1,27.6,10.6,38.3,11.3,5.5,17.4,14.3,0.3319,0.8,0.9616,0.8497
"Alamance",206.01,3113,0.33,9.52,36.85,0,0,17.39,6.94,76.45,26.84,6.6,"less_25",8.4306,2.5,4,0.6,35.7,8,10.4,9.2,10.1,0.5874,0.4,0.0113,0.3539
"Alamance",206.02,2638,0,9.51,35.14,0,0,97.08,7.5,62.46,46.02,11.7,"less_25",21.4789,4.8,3.8,1.7,36,8.5,10,10.7,10.5,0.4441,0.4,0.4125,0.5015
"Alamance",207.01,4973,0,9.53,39.13,0,0,13.78,9.08,99.29,3.58,25.3,"btwn_25_50",29.8701,6.9,6.8,3.9,35.8,9,9.1,11.7,11.3,0.5341,0.4,0.5567,0.6184
"Alamance",207.02,4941,0,9.53,36.07,0,0,42.66,8.54,81.16,11.53,49.2,"btwn_25_50",51.1233,11.2,16.3,13,33.9,10.8,6.5,17,12.4,0.5252,0.6,0.8084,0.798
"Alamance",208.01,1661,0,9.53,35.02,0,0,15.24,6.25,41.11,12.61,40.3,"btwn_25_50",34.1963,11,18.2,3.9,37,10,8.2,14.9,12.6,0.5245,0.6,0.7095,0.7618
"Alamance",208.02,5915,0,9.53,35.94,0,0,100,8.72,78.08,44.99,75.5,"greater_75",76.4426,25.3,42.6,5.2,40.1,12.4,6.1,20.8,17,0.5386,0.8,0.9826,0.9126
"Alamance",209.01,3406,0,9.54,34.96,0,0,27.51,8.61,79.77,41.2,39.5,"btwn_25_50",31.65,10.4,10.4,2.5,34.6,9.4,7.1,13.9,11.5,0.4127,0,0.7401,0.4431
"Alamance",209.02,3459,0,9.53,34.34,0,0,70.1,4.75,2.52,18.61,22.6,"less_25",26.0769,7.6,11.4,3.3,35.6,9.8,7.6,14.4,12,0.0962,0.4,0.4962,0.3497
"Alamance",210,3999,0,9.55,35.23,0,0,96.08,9.56,73.46,19.85,65.6,"btwn_50_75",74.0015,19.4,25.7,10.8,42.4,12.3,6.5,20.2,18,0.6829,0.8,0.9939,0.9505
"Alamance",211.01,2718,0,9.54,35.17,0,0,87.29,8.56,98.03,8.25,41,"btwn_25_50",43.1003,6.7,9,4.3,37.8,10,7.5,14.3,13.1,0.5892,0.6,0.601,0.7456
"Alamance",211.02,3369,0,9.54,34.72,0,0,11.63,7.33,29.63,5.23,38.3,"btwn_25_50",48.878,12.1,14.9,2.2,37,10.2,7.8,15.6,13.4,0.3683,0.8,0.7881,0.806
"Alamance",212.01,5565,0,9.48,33.26,0,0,51.8,5.78,44.39,5.23,47.1,"btwn_25_50",48.5853,21.6,18.1,2,39.6,11,6.8,16.9,16,0.5017,0.8,0.8864,0.8766
"Alamance",212.04,4976,0,9.51,34.17,0,0,0,5.17,29.63,5.7,30.5,"btwn_25_50",32.4896,8.3,12.2,2.9,34.2,9.5,7.2,13.6,10.9,0.2429,0,0.6077,0.2655
"Alamance",212.05,6830,0,9.48,34.49,0,0,42.8,8.06,100,6.07,38.8,"btwn_25_50",31.6846,4.6,6.7,7,31.2,9.6,6.7,13.4,9.9,0.4936,0,0.4802,0.3394
"Alamance",212.06,5029,0,9.48,34.02,0,0,50.47,7.17,99.31,1.4,41.2,"btwn_25_50",32.0342,9.6,6,5,30.8,9.6,5.8,13.8,9.6,0.5569,0,0.604,0.448
"Alamance",212.07,3476,0,9.45,33.28,0,0,61.31,9.92,81.2,1.4,21.3,"less_25",38.061,7.9,8.9,6.9,34.1,10.1,7.2,14.9,11.7,0.4957,0,0.5271,0.3682
"Alamance",213,6018,0,9.32,30.74,0,0,8.14,4.23,0,18.45,35.1,"btwn_25_50",28.4665,8.9,11,4.7,39.6,10.1,7.2,13.9,13.8,0.047,0.4,0.6104,0.3886
"Alamance",214,2748,0,9.34,31.45,0,0,12.59,3.42,0,12.8,10.2,"less_25",24.1266,9.1,11.2,5,37.6,9.5,8.1,13.5,11.5,0.1431,0.4,0.6154,0.4465
"Alamance",215,4760,0.33,9.33,31.49,0,0,0.05,4.29,0,11.31,13.7,"less_25",30.8824,7.7,10.2,5.9,35.4,9.5,7.5,13.9,11.4,0.168,0.4,0.4741,0.3797
"Alamance",216,7553,0.33,9.45,33.86,0,0,0,5.67,0,24,23.1,"less_25",27.4838,8.3,17.4,5,24.6,10.4,5.1,16.6,7.3,0.2964,0.4,0.6393,0.5427
"Alamance",217.01,3432,0.33,9.53,35.23,0,0,28.84,8.06,62.41,2.36,12.6,"less_25",9.7699,1.6,4.3,0,36.3,7.8,11.1,8.7,9.5,0.3628,0.4,0.3577,0.4249
"Alamance",217.02,6911,0.33,9.52,35.48,0,0,21.99,8.44,60.68,3.38,18,"less_25",35.4833,5.6,3.2,3.4,25.5,9.8,5.6,14.5,8.4,0.4104,0,0.237,0.1573
"Alamance",217.03,6408,0.33,9.53,41.06,0,0,59.91,8.08,52.89,0,34.3,"btwn_25_50",20.2419,7.4,7,5.1,31.6,9.2,6.9,12.8,9.4,0.615,0,0.4795,0.4104
"Alamance",218.01,4858,0,9.51,33.25,0,0,4.31,4.5,0,7.07,10.7,"less_25",26.4924,12.5,6.3,2.2,35.2,9.2,8,13,10.9,0.415,0.4,0.3398,0.4444
"Alamance",218.02,3743,0,9.49,32.77,0,0,14.61,3,0,23.65,6.2,"less_25",32.0755,9.5,10.7,1.6,31,9.5,6.6,14.8,9.8,0.065,0,0.3179,0.0555
"Alamance",218.03,3246,0,9.47,32.1,0,0,0,4.08,0,0.64,9.6,"less_25",36.6297,15.2,13.3,1.9,35.4,9.9,7.3,15.3,11.4,0.1269,0.2,0.4304,0.2139
"Alamance",219.01,4819,0,9.51,33.6,0,0,2.28,4,0,15.46,11.8,"less_25",19.1569,9.5,11.4,3.1,32.7,9.4,7.4,13.6,10.1,0.2756,0,0.2931,0.1219
"Alamance",219.02,4139,0,9.46,32.43,0,0,8,3.28,0,3.15,21.5,"less_25",22.59,11,10.1,3.1,32.3,9.2,6.7,13.4,9.8,0.0467,0,0.3781,0.0675
"Alamance",220.01,4044,0,9.51,33.57,0,0,0,4.75,0,15.63,25.4,"btwn_25_50",23.9147,7,14.3,5.8,33.4,9.7,7.1,14.1,10.8,0.3139,0,0.5034,0.2466
"Alamance",220.02,4449,0,9.5,33.68,0,0,2.27,3.89,0,3.57,26.7,"btwn_25_50",44.9764,12.1,17.6,7.1,33.5,10.1,6.4,15.2,11.3,0.1213,0,0.7275,0.2644
"Alexander",401,3167,0.33,9.06,28.85,0,0,0,3.61,0,5.35,7.8,"less_25",29.7127,17.7,21,6,35.1,9.8,7.2,15.3,10.8,0.1204,0.2,0.6827,0.3567
"Alexander",402,3910,0,8.87,28.57,0,0,0,3.72,9.65,3.5,10.5,"less_25",39.8816,7.8,21.2,3.5,36.9,10.1,7.6,15.8,12.6,0.0674,0.8,0.4895,0.5534
"Alexander",403,3164,0.33,9.17,30.79,0,0,0,4.92,22.99,6.66,3.5,"less_25",32.4589,5.2,16.1,3.8,37.2,10.4,7.5,16.9,13.5,0.1208,1,0.5547,0.7
"Alexander",404,6761,0.33,9.17,30.53,0,0,0,7.7,61.95,16.46,27.5,"btwn_25_50",39.9419,7.9,19.2,6.3,40.2,10.4,8.1,16.1,14.2,0.3855,1,0.8915,0.901
"Alexander",405,7016,0.33,9.39,30.9,0,0,0,4.42,26.93,0,15.6,"less_25",49.5484,10.8,17.8,4,36.4,10.2,6.9,16.4,12.1,0.3242,0.4,0.7359,0.6039
"Alexander",406,6372,0.33,9.39,32.71,0,0,8.4,4.83,1.49,10.18,14,"less_25",28.9869,5.4,19.8,6.6,33.8,9.3,6.4,14.6,10.1,0.1589,0,0.6122,0.2214
"Alexander",407,6823,0.33,9.4,33.02,0,0,0.01,6.04,0,8.08,4.5,"less_25",30.8484,8.7,11.1,5.1,36.3,9.6,8,14.2,11.8,0.2772,0.4,0.3921,0.3957
"Alleghany",9501,4117,0,7.95,22.42,0,0,30.92,4.58,21.47,3.18,8.2,"less_25",42.3852,12.2,25.8,5.7,38.7,10.1,8.4,15.4,13.8,0.0328,0.6,0.6846,0.5336
"Alleghany",9502,3711,0,7.81,21.72,0,0,0,7.54,39.27,6.11,19,"less_25",51.3198,10.6,21.1,2.2,41.7,11,8.8,17.7,16.9,0.0696,1,0.8607,0.7968
"Alleghany",9503,3180,0,7.73,21.23,0,0,15.88,3.28,20.16,6.76,12.6,"less_25",46.8553,10.9,19.8,3.5,38.3,9.9,8.8,14.9,14.4,0.0285,0.6,0.7356,0.557
"Anson",9201,3031,0,8.91,34.87,0,0,0,4.11,16.7,11.61,52.9,"btwn_50_75",45.2326,7,22.5,7.5,44.2,10.9,7,15.2,15.2,0.5001,0.6,0.756,0.7698
"Anson",9202,1881,0,9.04,34.55,0,0,34.96,4,26.27,20.45,57.8,"btwn_50_75",42.9559,13.9,20.2,4.3,43.6,11.1,7.2,16.5,16.5,0.2314,0.8,0.7295,0.735
"Anson",9203,7496,0.33,9.17,34.7,0,0,0,4.5,13.81,19.38,34.3,"btwn_25_50",32.3813,9.8,19.6,4.5,38.1,10,5.7,16.3,12.7,0.3373,0.6,0.6722,0.6723
"Anson",9204,3175,0,9,36.26,0,0,11.02,5.89,41.5,14.5,82.8,"greater_75",62.3622,13,15.8,12.7,47.9,12.4,6.7,18,19,0.5817,0.8,0.8633,0.8922
"Anson",9205,5566,0.33,8.98,35.98,0,0,0,7.5,39.69,4.45,65.1,"btwn_50_75",50.1498,12.6,18.4,9.9,44.2,10.7,8,14.9,15.4,0.3766,0.8,0.9181,0.85
"Anson",9206,3753,0,8.94,33.96,0,0,0,2.17,10.42,2.04,60.7,"btwn_50_75",47.8922,11.2,19.3,11.7,46.9,11.6,6.5,16.5,16.3,0.101,0.8,0.8974,0.7489
"Ashe",9702,2958,0,7.6,20.13,0,0,3.28,3.44,0.35,6.03,7.9,"less_25",51.5583,12.5,19.6,2.9,41.1,10.2,8.4,15.6,13.5,0.0859,0.8,0.4875,0.5616
"Ashe",9703,2573,0,7.62,20.28,0,0,42.22,3.25,0.04,3.11,2.1,"less_25",42.0521,15,19.5,4.3,42.9,10.6,9,16.2,15.2,0.0142,1,0.5979,0.6735
"Ashe",9704,5029,0,7.63,21.29,0,0,58.59,7.54,19.25,17.5,10.4,"less_25",37.2028,12,15.2,5.6,37.6,9.8,8.6,14.4,12.3,0.0553,0.6,0.7408,0.5731
"Ashe",9705,5839,0,7.65,21.37,0,0,22.76,6.6,30.96,5.67,10.4,"less_25",43.9112,16.9,15.9,6.7,38.7,10.2,8.7,15.6,13.9,0.199,0.8,0.8374,0.7628
"Ashe",9707,5230,0,7.67,21.09,0,0,7.74,3.33,20.18,1.55,5.7,"less_25",22.9063,8.7,10.2,0,32.8,8.9,8,12.3,9.8,0.0316,0.2,0.3438,0.1246
"Ashe",9708,5234,0,7.66,21.06,0,0,23.41,3.56,11.18,5.74,5.6,"less_25",41.5373,11.1,13.7,2.1,36.8,9.5,8.4,14,12.3,0.2792,0.6,0.6409,0.6324
"Avery",9301,3570,0,7.68,20.56,0,0,100,7.11,8.15,5.38,12,"less_25",45.9627,15.6,11.2,10.1,31.1,9.8,6.8,15.1,10,0.0213,0,0.8411,0.2722
"Avery",9302,2348,0,7.77,20.77,0,0,100,8.33,26.66,15.24,3.1,"less_25",37.3055,17.4,6.7,2.1,39.7,8.7,9.9,11.4,11.7,0.0421,0.4,0.5496,0.3492
"Avery",9303.01,3252,0,7.7,19.89,0,0,100,7.46,20.95,0,9.8,"less_25",49.7506,22.9,18,3.3,38,10.1,8.4,15.3,13.2,0.019,0.6,0.8506,0.6085
"Avery",9303.02,2566,0.67,7.73,19.92,0,0,100,4.17,40.22,0.52,2.7,"less_25",52.3772,12.6,17.1,5.4,39.4,10.4,7.9,16.7,13.6,0.0239,1,0.5709,0.6655
"Avery",9304,5770,0,7.85,21.54,0,0,100,5.67,56.61,0,18.8,"less_25",41.7096,10.8,21.5,1.3,33.8,9.2,6.1,15.1,10.9,0.0843,0,0.6251,0.1885
"Beaufort",9301,4981,0,7.55,24.99,0,0,6.64,6.03,18.9,36.47,37.6,"btwn_25_50",38.1185,7.6,11.3,5.6,43.5,10.5,8.3,14.9,16.5,0.0989,0.8,0.8202,0.7181
"Beaufort",9302,6572,0,7.91,26.85,0,0,0.93,5.5,16.71,8.24,28.8,"btwn_25_50",33.3181,19.8,16.2,5.6,38.1,10.5,7,16.2,13.1,0.4333,0.8,0.8092,0.8344
"Beaufort",9303,3714,0,8,28.09,0,0,0,10.5,100,54.61,64,"btwn_50_75",67.5069,13.7,16.6,11.7,44,12.4,6.8,19.1,18.7,0.9236,0.8,0.9876,0.9928
"Beaufort",9304,4724,0,7.96,27.8,0,0,0,9.13,68.05,31.13,50.1,"btwn_50_75",53.3619,5.5,15.3,11,43.9,10.8,8.8,14.6,16.3,0.8304,0.8,0.9483,0.9727
"Beaufort",9305.01,4435,0,7.86,27.27,0,0,0,5.39,18.5,53.58,31.2,"btwn_25_50",43.5175,17.8,16.5,10.4,37.3,9.5,7.8,13.2,13.1,0.365,0.6,0.8747,0.7638
"Beaufort",9305.02,3866,0,7.85,27.26,0,0,0,6.25,39.88,20.79,30,"btwn_25_50",41.2071,10.4,14.1,4.5,37.1,10,7.5,15.1,12.5,0.3633,0.6,0.796,0.7343
"Beaufort",9306,3174,0,7.75,26.4,0,0,15.48,3.92,29.88,29.82,5.7,"less_25",15.5325,8,1.8,2.2,35.7,9,8.5,12.4,11,0.1458,0.4,0.1517,0.1827
"Beaufort",9307,2552,0,7.55,25.08,0,0,0,4.33,6.93,36.23,5.9,"less_25",27.547,9.9,8.4,3.9,41.6,9.7,9.2,13.7,14.7,0.0593,0.6,0.4095,0.3955
"Beaufort",9308,2628,0,7.51,25.94,0,0,15.39,4.28,0,28.56,49.8,"btwn_25_50",46.0739,12.7,8.9,8.2,44.8,11.1,8.1,15.7,17.9,0.1589,1,0.8495,0.8235
"Beaufort",9309,4297,0,7.78,26.98,0,0,0,3.22,0.15,25.42,23.9,"less_25",33.6979,8.7,9.8,5.6,44.4,9.8,9.7,12.7,16.1,0.1174,0.6,0.4652,0.4596
"Beaufort",9310,6225,0,8,27.05,0,0,0,4.79,37.35,13.66,38.6,"btwn_25_50",49.9518,12.9,11,8.5,38.2,10.8,6.7,16.8,14.1,0.5718,0.8,0.8427,0.8838
"Bertie",9601,5616,0,7.83,25.86,0,0,2.87,3.58,14.74,4.69,49.2,"btwn_25_50",41.6667,13.1,17.2,9,44.8,10.9,7.8,15.1,16.6,0.058,0.8,0.7228,0.6592
"Bertie",9602,3953,0,8.04,26.64,0,0,0,4.06,10.66,0,68.7,"btwn_50_75",47.1311,12.9,24,9.7,47.4,12.3,7,17.3,18.5,0.0642,0.8,0.9254,0.7455
"Bertie",9603,3276,0,8.09,26.71,0,0,14.63,2.78,2.35,0,83.8,"greater_75",57.335,11.9,20.5,14.7,49.6,12.1,6.9,16.1,20.1,0.0632,0.8,0.9011,0.7365
"Bertie",9604,6535,0,7.79,26.3,0,0,32.06,5.02,20.52,0.68,68.3,"btwn_50_75",49.6012,9.8,24.7,11.7,46.8,11.3,7,15.8,17.4,0.1457,0.8,0.9667,0.7907
"Bladen",9501,5080,0,8.34,29.48,0,0,34.95,3.33,8.13,0.27,33.8,"btwn_25_50",46.2488,13.7,21.6,7.4,42.4,11.1,7.5,16.9,16.7,0.0239,1,0.9144,0.7996
"Bladen",9502,3099,0,8.79,30.84,0.08,0,46.56,3.5,3.79,0.32,41.2,"btwn_25_50",46.0471,21.7,24,9.1,39.8,11.1,6.7,16.6,15.5,0.3577,0.8,0.9188,0.8443
"Bladen",9503,6549,0,8.83,30.79,2.7,0,0,3.47,0,0.04,46.6,"btwn_25_50",52.6894,15,21.5,5.6,39.9,11.2,6.9,17.4,15.9,0.497,0.8,0.9219,0.8851
"Bladen",9504,6281,0,8.55,30.18,5.85,0,5.95,7.67,21.46,0,57.2,"btwn_50_75",55.5244,10.9,17.8,1,45.1,11,7.7,14.8,16.5,0.5661,0.8,0.8339,0.8799
"Bladen",9505,6646,0,8.61,29.74,0,0,0,3.92,0,5.44,24.7,"less_25",36.1631,7.2,13,5.8,39.6,10.8,7.6,16.1,14.4,0.1479,1,0.6521,0.7496
"Bladen",9506,5752,0,8.21,29.33,0,0,4.95,3.31,6.92,5.04,66.6,"btwn_50_75",50.4702,13.8,18.1,3.7,46.5,12.4,7.1,18.1,20.2,0.0858,0.8,0.8822,0.7379
"Brunswick",201.01,2554,0,7.65,29.46,8.26,0,24.43,2.5,16.42,10.84,62.6,"btwn_50_75",49.6868,20.5,18.5,7.3,37.3,11.4,5.4,17.5,13.9,0.6741,0.8,0.8217,0.9061
"Brunswick",201.02,5186,0,7.63,29.83,0,0,0,5.33,57.47,0.19,28.6,"btwn_25_50",27.5742,13.2,10.2,8,25.8,9.2,4.8,14.4,7.9,0.3682,0,0.5872,0.3281
"Brunswick",201.03,8929,0,7.54,29.33,0,0,0,6.78,79.89,13.82,20,"less_25",20.3718,5.4,8.3,4.8,34.2,9,7.9,12.1,10.7,0.3816,0.2,0.4543,0.3758
"Brunswick",201.04,5816,0,7.52,30.21,0,0,0,9.89,77.29,20.14,40.6,"btwn_25_50",45.0424,13.4,9.2,8,36.7,10.4,6.3,16.2,12.6,0.6418,0.8,0.7613,0.8807
"Brunswick",202.01,4564,0,7.48,29.82,0,0,0,6.58,72.62,52.36,33.6,"btwn_25_50",26.5995,11.1,9.5,4.9,27.3,9.6,5.2,14.2,8.1,0.2144,0,0.4044,0.1442
"Brunswick",202.02,9327,0,7.32,28.31,0,0,5.67,5.67,4.34,16.1,16.8,"less_25",15.894,3.6,5.3,3.3,32.4,9,7.7,12.2,10.1,0.1843,0.2,0.2719,0.1619
"Brunswick",202.03,2748,0,7.44,27.84,0,0,0,4.25,34.74,0.15,21.4,"less_25",35.0493,12,16.8,5.9,33.1,10,6.7,15,11.1,0.0896,0,0.5216,0.1404
"Brunswick",202.04,6847,0,7.31,25.93,0,0,0,6.38,15.21,3.7,21.3,"less_25",42.0898,11.8,13.6,9,34.5,9.6,7.8,14.1,11,0.0657,0.2,0.8147,0.4022
"Brunswick",203.03,4029,0,7.32,24.12,0,0,0,5.58,33.14,21.99,11.6,"less_25",21.9657,5.6,5.8,6.9,41.2,9.2,9.8,11.7,13.4,0.0299,0.6,0.3158,0.3216
"Brunswick",203.04,8049,0,7.22,24.13,0,0,0,7,34.99,23.32,3.3,"less_25",17.4307,5.2,2,4.4,41.5,8.1,11.5,8.6,12.7,0.1008,0.6,0.1173,0.2471
"Brunswick",203.05,2795,0,7.14,23.88,0,0,4.21,10,57.17,41.03,13.7,"less_25",28.6382,7.4,2.4,3.4,37,8.7,9.2,10.7,11.4,0.2492,0.4,0.328,0.3411
"Brunswick",203.06,2167,0,7.14,23.87,0,0,8.97,8.56,58.61,38.28,8.8,"less_25",18.2139,7,9.4,2.1,40.5,9,10.6,11.5,12.9,0.3167,0.6,0.3474,0.5052
"Brunswick",203.07,230,0,6.98,18.96,0,0,95.17,8.5,21.94,43.69,5.7,"less_25",4.7826,0,0,0,39.8,7.3,12.3,6.6,11.3,0.0052,0.4,0.0091,0.0645
"Brunswick",203.08,1896,0,7.25,21.38,0,0,0,5.08,0,55.97,0.9,"less_25",19.5664,9.7,3.5,5.3,36.6,8.6,9.6,10.8,11,0.0195,0.4,0.1961,0.1426
"Brunswick",203.09,2968,0,7.2,21.54,0,0,0,6.94,0,44.52,0.5,"less_25",18.8679,6.5,3.9,3,35.2,8.8,8.9,11.5,10.4,0.0126,0.4,0.0819,0.0922
"Brunswick",203.1,2568,0,7.12,21.17,0,0,18.08,7.37,9.2,37.82,2.5,"less_25",20.3436,6.5,5.9,1.5,39,8.8,10.2,11,12.1,0.0679,0.4,0.2128,0.1742
"Brunswick",204.02,3393,0,7.36,22.3,0,0,0,6.67,0,50.95,3.2,"less_25",19.0687,9.1,8.3,1.6,39.5,9.2,9.7,12.4,12.8,0.0152,0.6,0.3765,0.3492
"Brunswick",204.03,5336,0,7.44,22.88,0,0,0,5.33,5.35,34.38,18.4,"less_25",55.8471,19.8,15,11,39.1,10.6,8,16.7,14.6,0.0256,1,0.8063,0.7611
"Brunswick",204.04,2800,0,7.43,24.58,0,0,0,5.06,26.2,28.03,20.9,"less_25",29.25,13,12.2,6.7,39.3,9.9,7.6,14.6,12.8,0.0398,0.6,0.549,0.4628
"Brunswick",204.05,3312,0,7.39,24.2,0,0,0.99,5.33,21.62,17.74,5.4,"less_25",31.401,19.9,17.1,6.2,40.3,9.9,9.3,13.9,13.9,0.0182,0.6,0.6858,0.5268
"Brunswick",205.04,2045,0,7.74,26.77,0,0,14.48,4.67,38.03,0,14.3,"less_25",12.9095,2.2,4.7,0,45.1,8.6,11.7,9.7,14.4,0.0119,0.6,0.0788,0.1793
"Brunswick",205.05,4496,0,7.72,27.04,0,0,10.37,5.11,12.03,0.01,29.7,"btwn_25_50",45.1068,17.9,15.2,8.4,38.9,10.7,6.7,16.6,14.2,0.0152,0.8,0.8172,0.6819
"Brunswick",205.06,5352,0,7.52,25.32,0,0,19.15,7.67,24.75,33.4,19.8,"less_25",31.9197,5.8,11.2,3.1,38.7,9.8,8.6,14,12.8,0.0747,0.6,0.4586,0.4318
"Brunswick",205.07,7639,0,7.73,26.9,0,0,0,6.23,68.22,0.59,9.3,"less_25",15.2376,5,4.7,7.9,43.8,8.6,11.8,10.2,13.7,0.0343,0.6,0.2108,0.2623
"Brunswick",205.08,2992,0,7.62,26.29,0,0,0,5.58,44.26,4.38,6.3,"less_25",11.2968,1.4,2.6,25.9,43.3,8.5,11.5,9.7,13.7,0.0309,0.6,0.1669,0.2361
"Brunswick",205.09,4861,0,7.6,24.92,0,0,0,5.83,1.06,60.08,5.2,"less_25",34.7871,9,3.4,10.8,40.8,8.4,10.8,10.1,12.9,0.129,0.6,0.382,0.4196
"Brunswick",205.1,2039,0,7.55,25.2,0,0,0,8.72,0,59.58,12.2,"less_25",32.7612,7.5,6.1,1.7,40.7,9.3,9.8,12.7,13.4,0.0814,0.6,0.3821,0.3923
"Brunswick",205.11,2412,0,7.47,25.11,0,0,0,6.33,0,50.93,1.3,"less_25",30.6385,11.2,5.7,2.2,39.9,9.2,9.4,12.4,12.6,0.1008,0.6,0.3573,0.389
"Brunswick",205.12,932,0,7.54,24.88,0,0,0,7.58,0,55.78,4.4,"less_25",12.7682,1.7,1.4,4.5,39.3,8,11.2,8.6,11.6,0.0869,0.4,0.1073,0.1327
"Brunswick",206.01,4826,0,7.63,27.81,0,0,36.22,6,6.76,0.69,37.5,"btwn_25_50",33.7091,15.8,12.2,2.4,36.3,10.2,7.3,15.4,12.5,0.0091,0.4,0.8213,0.4862
"Brunswick",206.02,5378,0,7.57,28.12,0,0,4.17,3.08,15.39,0.57,22.8,"less_25",31.328,14.8,17.4,3.8,36.2,10.6,6.6,16.8,12.7,0.3363,0.8,0.6794,0.7555
"Brunswick",206.03,3329,0,7.39,26.02,0,0,0.47,6,50.34,0.78,30.1,"btwn_25_50",40.9553,14.8,16.4,3.5,39.3,11,6.4,16.9,14.6,0.067,0.8,0.8167,0.7034
"Brunswick",9901,0,NA,NA,NA,NA,0,NA,1,NA,NA,0,"less_25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buncombe",1,1445,0.67,8.32,29.66,0,0,0,19.5,100,10.91,30.4,"btwn_25_50",52.6539,10.1,17.4,1.8,35.7,9.9,6.8,15.4,12.6,0.4576,0.4,0.8295,0.7049
"Buncombe",2,1402,0.67,8.33,30.62,0,0,0,17.08,100,10.91,38.9,"btwn_25_50",42.0902,9.6,2.9,3.1,28,10.4,4.6,15.4,8.3,0.5698,0.2,0.2689,0.3776
"Buncombe",3,2396,0.67,8.32,30.64,0,0,0,14.67,100,10.91,26.4,"btwn_25_50",44.803,8.9,3.3,3.4,25.2,10.3,4.5,16,8,0.5388,0.2,0.3313,0.396
"Buncombe",4,3899,0.67,8.31,29.65,0,0,0,15.33,100,10.91,15.7,"less_25",48.9275,9.1,5.3,6.3,20.9,10.2,4.2,17.2,5.9,0.5104,0.2,0.4703,0.4585
"Buncombe",5,3559,0.67,8.29,27.81,0,0,0,13.78,84.15,10.85,7.2,"less_25",13.5431,8,2.3,0.5,30.7,8,8.4,9.2,7.6,0.2538,0.2,0.1115,0.1207
"Buncombe",6,1871,0.33,8.31,28.55,0,0,0,15.75,100,10.8,17.5,"less_25",40.9871,12.3,7.6,3.1,26.7,9,5.1,13.4,7.6,0.2129,0,0.4271,0.154
"Buncombe",7,1605,0.67,8.32,28.77,0,0,0.74,18.17,100,10.86,41.4,"btwn_25_50",42.6158,13.5,2.4,1.1,31.8,9.6,5.7,12.7,10,0.2047,0,0.315,0.1014
"Buncombe",8,3454,0.33,8.34,29.72,48.23,0,8.01,14.22,100,7.74,25.2,"btwn_25_50",24.2961,8.4,3.8,2.4,32.7,8.8,7.9,11.3,9.3,0.6338,0.2,0.2713,0.4163
"Buncombe",9,2996,0.33,8.35,30.27,0,0,75.25,16.67,100,10.2,51,"btwn_50_75",65.5011,12.7,15.7,9.6,45,12.1,6.4,18.8,18.3,0.4324,0.8,0.8951,0.8596
"Buncombe",10,4811,0.67,8.35,29.75,0,0,85.46,15.56,100,4.87,22.6,"less_25",42.5275,14,9,2.9,27.7,9.6,5.1,14.5,7.6,0.3919,0,0.4681,0.271
"Buncombe",11,5573,0.67,8.36,29.78,0,0,3.88,14.56,100,2.74,19.1,"less_25",18.8721,9.8,4.4,3.1,28.6,8.6,6.9,11.4,7.4,0.5341,0,0.3994,0.314
"Buncombe",12,4903,0.67,8.35,28.64,0,0,0,14.1,100,2.44,8.3,"less_25",30.2707,9.2,7.6,3.4,27.7,8.9,6.7,12.6,7.7,0.6701,0,0.4938,0.4497
"Buncombe",13,4551,0.67,8.34,28.24,0,0,0,10.92,91.55,4.89,24.3,"less_25",52.1424,13.7,13.8,2.9,31.7,9.7,6.3,15.2,9.7,0.6629,0,0.8033,0.6069
"Buncombe",14,6950,0.33,8.32,29.23,0,0,0,11.23,63.69,11.28,30.7,"btwn_25_50",48.4148,21.1,17.6,5.2,33.3,10.3,6.2,16.7,10.7,0.5566,0.2,0.9323,0.7058
