"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Blue Moon","The Marcels","3-Apr-61",3,7.33,"Rock",135,1,2,2,NA,128,43,62,94,-11,"G",0
"Runaway","Del Shannon","24-Apr-61",4,9.67,"Rock",137,1,1,0,24,79,53,59,73,-8,"Multiple Keys",0
"Mother-in-Law","Ernie K-Doe","22-May-61",1,6,"Rock",154,1,0,1,28,127,63,75,75,-8,"Eb",0
"Travelin' Man","Ricky Nelson","29-May-61",2,5.33,"Rock",143,1,1,0,21,123,36,74,86,-12,"D",0
"Running Scared","Roy Orbison","5-Jun-61",1,9,"Pop",132,1,1,0,25,128,39,57,38,-11,"A",0
"Moody River","Pat Boone","19-Jun-61",1,1.67,"Pop",154,1,1,0,27,139,73,62,69,-7,"Fm",0
"Quarter to Three","Gary U.S. Bonds","26-Jun-61",2,8,"Funk/Soul;Rock",150,1,0,1,22,165,83,46,90,-9,"Eb",0
"Tossin' and Turnin'","Bobby Lewis","10-Jul-61",7,7,"Rock",159,1,0,1,36,143,72,57,96,-9,"C",0
"Wooden Heart","Joe Dowell","28-Aug-61",1,1.33,"Polka",118,1,1,0,21,85,46,84,95,-10,"Db",0
"Michael","The Highwaymen","4-Sep-61",2,4.67,"Folk/Country",165,1,1,0,21,108,10,52,65,-21,"C",0
"Take Good Care of My Baby","Bobby Vee","18-Sep-61",3,5.67,"Rock",150,1,1,0,18,82,43,49,66,-12,"F",0
"Hit the Road Jack","Ray Charles","9-Oct-61",2,7.33,"Funk/Soul",120,1,0,1,31,173,63,56,93,-11,"Abm",0
"Runaround Sue","Dion","23-Oct-61",2,8,"Funk/Soul;Rock",161,1,1,0,22,80,61,36,60,-10,"D",0
"Big Bad John","Jimmy Dean","6-Nov-61",5,6.67,"Folk/Country",182,1,1,0,33,174,46,52,46,-13,"Em",1
"Please Mr. Postman","The Marvelettes","11-Dec-61",1,7.67,"Pop",148,0,0,1,16,121,78,79,97,-5,"D",0
"The Lion Sleeps Tonight","The Tokens","18-Dec-61",3,9,"Pop",162,1,1,0,NA,121,47,32,80,-9,"F",0
"Peppermint Twist","Joey Dee & the Starliters","27-Jan-62",3,4.67,"Rock",119,1,2,2,21,99,77,42,69,-12,"C",0
"Duke of Earl","Gene Chandler","17-Feb-62",3,6,"Funk/Soul",148,1,0,1,22,105,28,58,47,-11,"F",0
"Hey! Baby","Bruce Channel","10-Mar-62",3,5.67,"Rock",142,1,1,0,21,130,55,63,56,-9,"A",0
"Don't Break the Heart that Loves You","Connie Francis","31-Mar-62",1,7,"Pop",185,0,1,0,24,76,40,24,17,-7,"Ab",0
"Johnny Angel","Shelley Fabares","7-Apr-62",2,5.33,"Pop",139,0,1,0,18,108,38,37,74,-9,"C",0
"Good Luck Charm","Elvis Presley","21-Apr-62",2,4.67,"Rock",144,1,1,0,27,121,35,63,87,-17,"G",0
"Soldier Boy","The Shirelles","5-May-62",3,6.33,"Pop",162,0,0,1,20,98,20,57,62,-15,"Bb",0
"Stranger on the Shore","Mr. Acker Bilk","26-May-62",1,4.33,"Pop",172,1,1,0,33,71,33,31,23,-12,"Eb",0
"I Can't Stop Loving You","Ray Charles","2-Jun-62",5,7.67,"Pop",157,1,0,1,31,79,28,31,38,-14,"F",0
"The Stripper","David Rose & His Orchestra","7-Jul-62",1,5.33,"Jazz",116,1,1,0,52,94,46,48,56,-10,"F",0
"Roses are Red (My Love)","Bobby Vinton","14-Jul-62",4,3.67,"Pop",158,1,1,0,27,103,22,51,53,-10,"F",0
"Breaking Up is Hard to Do","Neil Sedaka","11-Aug-62",2,6.33,"Pop",139,1,1,0,23,116,80,74,96,-5,"B",0
"The Loco-motion","Little Eva","25-Aug-62",1,8,"Pop",139,0,0,1,19,129,78,63,74,-10,"Eb",0
"Sheila","Tommy Roe","8-Sep-62",2,6.33,"Rock",127,1,1,0,20,136,57,42,47,-9,"A",0
"Sherry","Frankie Valli & the Four Seasons","15-Sep-62",5,5.33,"Rock",152,1,1,0,28,118,47,70,69,-8,"C",0
"Monster Mash","Bobby ""Boris"" Pickett & the Crypt-Kickers","20-Oct-62",2,5.33,"Rock",192,1,1,0,24,70,49,69,71,-14,"G",0
"He's a Rebel","The Crystals","3-Nov-62",2,9.67,"Pop",151,0,0,1,21,117,76,71,87,-6,"F",0
"Big Girls Don't Cry","Frankie Valli & the Four Seasons","17-Nov-62",5,3,"Rock",146,1,1,0,28,130,84,76,84,-5,"G",0
"Telstar","The Tornados","22-Dec-62",3,8,"Rock",195,1,1,0,NA,146,75,20,63,-7,"Multiple Keys",0
"Go Away Little Girl","Steve Lawrence","12-Jan-63",2,2.67,"Pop",132,1,1,0,27,109,29,42,56,-14,"F",0
"Walk Right In","The Rooftop Singers","26-Jan-63",2,6,"Folk/Country",137,2,1,0,29,130,66,68,96,-10,"Ab",0
"Hey Paula","Paul & Paula","9-Feb-63",3,3.67,"Pop",132,2,1,0,21,110,26,51,54,-12,"G",0
"Walk Like a Man","Frankie Valli & the Four Seasons","2-Mar-63",3,7.67,"Rock",117,1,1,0,28,118,64,68,97,-10,"Bb",0
"Our Day Will Come","Ruby & the Romantics","23-Mar-63",1,5,"Pop",154,2,0,1,28,93,62,53,73,-8,"Eb",0
"He's So Fine","The Chiffons","30-Mar-63",4,6.67,"Pop",113,0,0,1,16,72,63,56,87,-3,"G",0
"I Will Follow Him","Little Peggy March","27-Apr-63",3,6.33,"Pop",148,0,1,0,15,125,44,64,90,-11,"C",0
"If You Wanna Be Happy","Jimmy Soul","18-May-63",2,4.33,"Rock",134,1,0,1,20,93,87,67,84,-8,"Bb",0
"It's My Party","Lesley Gore","1-Jun-63",2,6.67,"Pop",140,0,1,0,17,128,49,69,96,-12,"A",0
"Sukiyaki","Kyu Sakamoto","15-Jun-63",3,7.33,"Pop",182,1,0,0,21,146,36,41,40,-11,"G",0
"Easier Said Than Done","The Essex","6-Jul-63",2,5.33,"Rock",129,2,0,1,23,136,47,80,88,-11,"E",0
"Surf City","Jan & Dean","20-Jul-63",2,6.33,"Rock",147,1,1,0,22,148,81,53,96,-13,"Ab",0
"So Much in Love","The Tymes","3-Aug-63",1,6.67,"Funk/Soul",140,1,0,1,NA,76,48,54,42,-10,"E",0
"Fingertips Pt. 2","Stevie Wonder","10-Aug-63",3,8.33,"Funk/Soul;Jazz",190,1,0,1,13,138,88,32,31,-7,"Cm",0
"My Boyfriend's Back","The Angels","31-Aug-63",3,7.67,"Pop",134,0,1,0,19,135,87,68,96,-6,"Eb",0
"Blue Velvet","Bobby Vinton","21-Sep-63",3,6,"Pop",168,1,1,0,28,80,25,38,28,-10,"Bb",0
"Sugar Shack","Jimmy Gilmer & the Fireballs","12-Oct-63",5,3,"Rock",123,1,1,0,23,133,80,79,88,-7,"G",0
"Deep Purple","Nino Tempo & April Stevens","16-Nov-63",1,4.67,"Pop",160,2,1,0,31,131,32,51,57,-12,"F",0
"I'm Leaving it Up to You","Dale & Grace","23-Nov-63",2,6.33,"Folk/Country;Rock",131,2,1,0,24,105,36,23,71,-12,"B",0
"Dominique","The Singing Nun","7-Dec-63",4,4.67,"Folk/Country",176,0,1,0,30,136,34,74,51,-8,"D",0
"There! I've Said It Again","Bobby Vinton","4-Jan-64",4,3.33,"Pop",145,1,1,0,28,80,30,25,31,-10,"A",0
"I Want To Hold Your Hand","The Beatles","1-Feb-64",7,9.67,"Rock",145,1,1,0,22,131,71,49,87,-6,"G",0
"She Loves You","The Beatles","21-Mar-64",2,9.33,"Rock",140,1,1,0,22,76,92,38,91,-3,"G",0
"Can't Buy Me Love","The Beatles","4-Apr-64",4,9,"Rock",131,1,1,0,22,172,76,43,95,-4,"C",0
"Hello, Dolly!","Louis Armstrong","9-May-64",1,7,"Jazz",147,1,0,1,62,155,41,58,62,-10,"C",0
"My Guy","Mary Wells","16-May-64",2,7.67,"Funk/Soul",174,0,0,1,21,127,58,69,91,-8,"Bb",0
"Love Me Do","The Beatles","30-May-64",1,6.67,"Rock",141,1,1,0,22,148,83,52,74,-6,"G",0
"Chapel of Love","The Dixie Cups","6-Jun-64",3,8.33,"Pop",170,0,0,1,20,125,35,59,79,-10,"D",0
"A World Without Love","Peter & Gordon","27-Jun-64",1,5.33,"Rock",160,1,1,0,20,130,66,51,75,-10,"E",0
"I Get Around","The Beach Boys","4-Jul-64",2,8,"Rock",134,1,1,0,23,144,62,39,51,-8,"Multiple Keys",0
"Rag Doll","Frankie Valli & the Four Seasons","18-Jul-64",2,8.67,"Pop",174,1,1,0,30,121,53,50,61,-8,"Bb",0
"A Hard Day's Night","The Beatles","1-Aug-64",2,10,"Rock",154,1,1,0,23,139,81,59,80,-6,"G",0
"Everybody Loves Somebody","Dean Martin","15-Aug-64",1,4.67,"Pop",165,1,1,0,47,119,41,50,46,-12,"Eb",0
"Where Did Our Love Go","The Supremes","22-Aug-64",2,8.33,"Pop",153,0,0,1,20,135,48,55,83,-11,"C",0
"House of the Rising Sun","The Animals","5-Sep-64",3,8.67,"Rock",179,1,1,0,23,117,58,29,23,-7,"Am",0
"Oh, Pretty Woman","Roy Orbison","26-Sep-64",3,9.33,"Rock",178,1,1,0,28,127,58,61,96,-10,"Multiple Keys",0
"Do Wah Diddy Diddy","Manfred Mann","17-Oct-64",2,7.33,"Rock",143,1,1,0,23,125,56,66,96,-8,"E",0
"Baby Love","The Supremes","31-Oct-64",4,8,"Pop",158,0,0,1,20,136,64,58,71,-9,"C",0
"Leader of the Pack","The Shangri-Las","28-Nov-64",1,9.33,"Pop",171,0,1,0,15,129,57,42,32,-9,"C",0
"Ringo","Lorne Greene","5-Dec-64",1,5,"Folk/Country",214,1,1,0,49,111,52,56,65,-13,"Multiple Keys",0
"Mr. Lonely","Bobby Vinton","12-Dec-64",1,5.33,"Pop",161,1,1,0,29,169,29,25,34,-10,"E",0
"Come See About Me","The Supremes","19-Dec-64",1,8.67,"Pop",163,0,0,1,20,126,50,73,88,-12,"D",0
"I Feel Fine","The Beatles","26-Dec-64",3,9.33,"Rock",139,1,1,0,23,90,83,56,91,-7,"G",0
