"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Love Child","Diana Ross & The Supremes","30-Nov-68",2,9.33,"Funk/Soul",183,0,0,1,24,105,96,57,65,-1,"Am",0
"I Heard it Through the Grapevine","Marvin Gaye","14-Dec-68",7,10,"Funk/Soul",196,1,0,1,29,117,35,72,64,-11,"Ebm",0
"Crimson and Clover","Tommy James & the Shondells","1-Feb-69",2,9,"Rock",203,1,1,0,21,86,59,41,65,-12,"B",0
"Everyday People","Sly & the Family Stone","15-Feb-69",4,8.33,"Rock;Funk/Soul",142,2,2,2,25,115,62,81,77,-8,"G",0
"Dizzy","Tommy Roe","15-Mar-69",4,5.67,"Pop",172,1,1,0,26,104,41,79,82,-11,"Multiple Keys",0
"Aquarius/Let the Sunshine In (The Flesh Failures)","The 5th Dimension","12-Apr-69",6,5,"Pop",289,2,0,1,28,118,74,29,52,-6,"Multiple Keys",0
"Get Back","The Beatles","24-May-69",5,7,"Rock",194,1,1,0,26,123,59,76,33,-10,"A",0
"Love Theme from Romeo and Juliet","Henri Mancini & His Orchestra","28-Jun-69",2,5,"Pop",149,1,1,0,45,75,19,35,16,-12,"Am",0
"In the Year 2525 (Exordium & Terminus)","Zager & Evans","12-Jul-69",6,2.33,"Rock",190,1,1,0,26,123,62,45,50,-6,"Abm",0
"Honky Tonk Women","The Rolling Stones","23-Aug-69",4,8.67,"Rock",183,1,1,0,26,114,97,37,40,-5,"G",1
"Sugar, Sugar","The Archies","20-Sep-69",4,6.67,"Pop",168,2,1,0,NA,122,87,74,97,-3,"D",0
"I Can't Get Next to You","The Temptations","18-Oct-69",2,8,"Funk/Soul",175,1,0,1,26,109,69,68,71,-13,"Cm",0
"Suspicious Minds","Elvis Presley","1-Nov-69",1,8.33,"Pop",261,1,1,0,34,117,38,49,71,-11,"G",0
"Wedding Bell Blues","The 5th Dimension","8-Nov-69",3,5,"Pop",165,2,0,1,29,118,67,48,62,-5,"C",0
"Come Together","The Beatles","29-Nov-69",1,8.67,"Rock",259,1,1,0,29,165,38,53,19,-12,"Dm",0
"Na Na Hey Hey Kiss Him Goodbye","Steam","6-Dec-69",2,4.33,"Pop",225,1,1,0,26,115,92,64,51,-7,"Multiple Keys",0
"Leaving on a Jet Plane","Peter, Paul & Mary","20-Dec-69",1,8,"Folk/Country",207,2,1,0,32,133,17,41,38,-17,"A",0
"Someday We'll Be Together","Diana Ross & The Supremes","27-Dec-69",1,7,"Funk/Soul",194,0,0,1,25,107,54,68,83,-12,"Db",0
"Raindrops Keep Falling on My Head","B.J. Thomas","3-Jan-70",4,6.33,"Pop",177,1,1,0,27,106,49,51,70,-8,"F",0
"I Want You Back","The Jackson 5","31-Jan-70",1,10,"Pop",180,1,0,1,11,98,54,64,94,-13,"Ab",0
"Venus","Shocking Blue","7-Feb-70",1,5.67,"Rock",187,2,1,0,24,128,76,69,96,-6,"Bm",0
"Thank You (Falettinme Be Mice Elf Agin)","Sly & the Family Stone","14-Feb-70",2,7.33,"Funk/Soul",288,2,2,2,28,106,71,90,90,-13,"E",0
"Bridge Over Troubled Water","Simon & Garfunkel","28-Feb-70",6,10,"Pop",293,1,1,0,28,80,21,15,26,-14,"Eb",0
"Let it Be","The Beatles","11-Apr-70",2,8.67,"Funk/Soul;Rock",230,1,1,0,27,143,40,44,41,-8,"C",0
"ABC","The Jackson 5","25-Apr-70",2,9,"Pop",175,1,0,1,11,94,81,71,95,-8,"Ab",0
"American Woman","The Guess Who","9-May-70",3,6.67,"Rock",231,1,1,0,22,93,84,54,88,-8,"Em",0
"Everything is Beautiful","Ray Stevens","30-May-70",2,2.67,"Funk/Soul",209,1,1,0,31,112,38,37,72,-15,"F",0
"The Long and Winding Road","The Beatles","13-Jun-70",2,6,"Pop",220,1,1,0,28,133,37,33,31,-9,"Eb",0
"The Love You Save","The Jackson 5","27-Jun-70",2,6.67,"Pop",180,1,0,1,11,114,70,75,95,-11,"G",0
"Mama Told Me (Not to Come)","Three Dog Night","11-Jul-70",2,7,"Rock",199,1,2,2,29,120,67,67,82,-14,"Ab",0
"(They Long to Be) Close to You","The Carpenters","25-Jul-70",4,5.67,"Pop",220,2,1,0,21,89,25,53,24,-15,"G",0
"Make it With You","Bread","22-Aug-70",1,4,"Rock",192,1,1,0,28,84,36,63,47,-11,"E",0
"War","Edwin Starr","29-Aug-70",3,9,"Funk/Soul",200,1,0,1,28,109,67,59,74,-12,"Ebm",0
"Ain't No Mountain High Enough","Diana Ross","19-Sep-70",3,6,"Funk/Soul",205,0,0,1,26,99,79,39,38,-5,"Multiple Keys",0
"Cracklin' Rosie","Neil Diamond","10-Oct-70",1,6.67,"Pop",180,1,1,0,29,128,49,56,86,-15,"Db",0
"I'll Be There","The Jackson 5","17-Oct-70",5,8,"Funk/Soul",238,1,0,1,12,93,51,51,33,-7,"F",0
"I Think I Love You","The Partridge Family","21-Nov-70",3,5.33,"Pop",173,2,1,0,20,102,47,43,78,-12,"Multiple Keys",0
"The Tears of a Clown","Smokey Robinson & the Miracles","12-Dec-70",2,7.33,"Pop",182,2,0,1,30,128,61,59,95,-10,"Db",0
"My Sweet Lord","George Harrison","26-Dec-70",4,8.33,"Rock",281,1,1,0,27,121,70,54,58,-9,"E",0
"Knock Three Times","Tony Orlando & Dawn","23-Jan-71",3,3.67,"Pop",180,2,2,2,26,123,58,78,93,-10,"Db",0
"One Bad Apple","The Osmonds","13-Feb-71",5,5.33,"Pop",165,1,1,0,15,101,57,60,92,-7,"C",0
"Me and Bobby McGee","Janis Joplin","20-Mar-71",2,10,"Rock",271,0,1,0,27,93,46,45,66,-11,"G",0
"Just My Imagination (Running Away with Me)","The Temptations","3-Apr-71",2,10,"Funk/Soul",228,1,0,1,31,92,24,43,46,-15,"C",0
"Joy to the World","Three Dog Night","17-Apr-71",6,5.67,"Rock",197,1,2,2,29,127,67,65,97,-12,"D",0
"Brown Sugar","The Rolling Stones","29-May-71",2,7.67,"Rock",230,1,1,0,27,129,93,64,97,-4,"C",1
"Want Ads","Honey Cone","12-Jun-71",1,6.67,"Funk/Soul",166,0,0,1,NA,95,81,65,93,-7,"Ab",0
"It's Too Late","Carole King","19-Jun-71",5,7,"Rock",231,0,1,0,29,104,44,45,81,-13,"Multiple Keys",0
"Indian Reservation (The Lament of the Cherokee Reservation Indian)","The Raiders","24-Jul-71",1,4.67,"Rock",172,1,1,0,29,132,38,64,21,-13,"Dbm",0
"You've Got a Friend","James Taylor","31-Jul-71",1,4.67,"Rock",268,1,1,0,23,92,28,69,44,-15,"A",0
"How Can You Mend a Broken Heart","Bee Gees","7-Aug-71",4,4,"Rock",239,1,1,0,22,69,26,44,25,-14,"E",0
"Uncle Albert/Admiral Halsey","Paul McCartney & Linda McCartney","4-Sep-71",1,7,"Rock",295,2,1,0,29,92,51,37,54,-10,"Multiple Keys",0
"Go Away Little Girl","Donny Osmond","11-Sep-71",3,1.67,"Pop",149,1,1,0,13,108,41,39,38,-11,"G",0
"Maggie May","Rod Stewart","2-Oct-71",5,9.33,"Rock",222,1,1,0,26,130,66,58,78,-9,"D",0
"Gypsys, Tramps and Thieves","Cher","6-Nov-71",2,4.67,"Pop",158,0,1,0,25,171,67,48,70,-11,"Am",0
"Theme from Shaft","Isaac Hayes","20-Nov-71",2,8.33,"Funk/Soul",197,1,0,1,29,120,69,50,69,-12,"Am",1
"Family Affair","Sly & the Family Stone","4-Dec-71",3,8.67,"Funk/Soul",185,2,2,2,28,109,61,82,80,-14,"F",0
"Brand New Key","Melanie","25-Dec-71",3,5.67,"Folk/Country",144,0,1,0,24,84,41,67,82,-8,"Db",0
"American Pie","Don McLean","15-Jan-72",4,7.33,"Rock",515,1,1,0,26,138,48,53,49,-12,"G",1
"Let's Stay Together","Al Green","12-Feb-72",1,9.33,"Funk/Soul",199,1,0,1,25,102,40,76,51,-11,"F",0
"Without You","Harry Nilsson","19-Feb-72",4,7,"Pop",201,1,1,0,30,65,19,39,14,-15,"E",0
"Heart of Gold","Neil Young","18-Mar-72",1,8.67,"Rock",187,1,1,0,26,171,46,54,80,-10,"Em",0
"A Horse with No Name","America","25-Mar-72",3,6.33,"Rock",272,1,1,0,20,123,51,65,83,-17,"Em",0
"The First Time Ever I Saw Your Face","Roberta Flack","15-Apr-72",6,8.33,"Pop",255,0,0,1,35,121,3,31,14,-22,"C",0
"Oh Girl","The Chi-Lites","27-May-72",1,8.33,"Funk/Soul",216,1,0,1,31,134,40,42,60,-13,"Bb",0
"I'll Take You There","The Staple Singers","3-Jun-72",1,8,"Funk/Soul",196,2,0,1,32,102,60,84,80,-9,"C",0
"The Candy Man","Sammy Davis Jr.","10-Jun-72",3,2.33,"Pop",192,1,0,1,46,131,55,64,84,-11,"C",0
"Song Sung Blue","Neil Diamond","1-Jul-72",1,5,"Pop",194,1,1,0,31,109,41,51,36,-13,"C",0
"Lean on Me","Bill Withers","8-Jul-72",3,8,"Funk/Soul",258,1,0,1,34,75,22,62,42,-14,"C",0
"Alone Again (Naturally)","Gilbert O'Sullivan","29-Jul-72",6,3,"Rock",217,1,1,0,25,172,46,56,56,-8,"Multiple Keys",0
"Brandy (You're a Fine Girl)","Looking Glass","26-Aug-72",1,7,"Rock",186,1,1,0,24,125,77,72,77,-8,"E",0
"Black and White","Three Dog Night","16-Sep-72",1,3.33,"Rock",206,1,1,0,30,109,58,69,94,-12,"B",0
"Baby, Don't Get Hooked on Me","Mac Davis","23-Sep-72",3,3,"Rock",183,1,1,0,30,81,31,50,80,-18,"A",0
"Ben","Michael Jackson","14-Oct-72",1,5,"Pop",167,1,0,1,14,136,17,44,30,-11,"F",0
"My Ding-a-Ling","Chuck Berry","21-Oct-72",2,2,"Pop",256,1,0,1,46,122,55,69,49,-8,"Eb",1
"I Can See Clearly Now","Johnny Nash","4-Nov-72",4,7.67,"Funk/Soul",164,1,0,1,32,123,37,68,62,-13,"Multiple Keys",0
"Papa Was a Rollin' Stone","The Temptations","2-Dec-72",1,9.67,"Funk/Soul",419,1,0,1,28,121,41,82,90,-14,"Bbm",0
"I Am Woman","Helen Reddy","9-Dec-72",1,5.33,"Pop",205,0,1,0,31,171,68,39,71,-9,"Multiple Keys",0
"Me and Mrs. Jones","Billy Paul","16-Dec-72",3,7.33,"Funk/Soul",284,1,0,1,38,100,53,30,45,-10,"Ab",0
"You're So Vain","Carly Simon","6-Jan-73",3,8.67,"Rock",258,0,1,0,27,106,68,66,65,-8,"C",0
"Superstition","Stevie Wonder","27-Jan-73",1,10,"Funk/Soul",245,1,0,1,22,100,63,63,87,-12,"Ebm",0
"Crocodile Rock","Elton John","3-Feb-73",3,5.33,"Rock",235,1,1,0,25,150,80,63,97,-7,"G",0
"Killing Me Softly with His Song","Roberta Flack","24-Feb-73",5,8,"Pop",286,0,0,1,36,122,38,48,33,-10,"Ab",0
"Love Train","The O'Jays","24-Mar-73",1,6.33,"Funk/Soul",178,1,0,1,30,123,57,74,69,-10,"C",0
"The Night the Lights Went Out in Georgia","Vicki Lawrence","7-Apr-73",2,4.67,"Pop",220,0,1,0,24,173,41,46,61,-14,"Multiple Keys",0
"Tie a Yellow Ribbon 'Round the Ole Oak Tree","Tony Orlando & Dawn","21-Apr-73",4,2,"Pop",206,2,2,2,29,88,62,56,68,-12,"F",1
"You are the Sunshine of My Life","Stevie Wonder","19-May-73",1,7.67,"Funk/Soul",172,1,0,1,23,132,46,52,68,-15,"B",0
"Frankenstein","The Edgar Winter Group","26-May-73",1,5.67,"Rock",206,1,1,0,26,96,89,51,29,-10,"Gm",0
"My Love","Paul McCartney & Wings","2-Jun-73",4,5.33,"Rock",247,2,1,0,30,120,36,41,13,-14,"F",0
"Give Me Love (Give Me Peace on Earth)","George Harrison","30-Jun-73",1,7.67,"Rock",215,1,1,0,30,79,56,39,60,-12,"F",0
"Will it Go Round in Circles","Billy Preston","7-Jul-73",2,6.33,"Funk/Soul",224,1,0,1,26,98,71,69,96,-13,"Abm",0
"Bad, Bad Leroy Brown","Jim Croce","21-Jul-73",2,4.67,"Rock",181,1,1,0,30,148,80,67,88,-7,"G",1
"The Morning After","Maureen McGovern","4-Aug-73",2,2.67,"Pop",141,0,1,0,24,80,51,41,35,-7,"Multiple Keys",0
"Touch Me in the Morning","Diana Ross","18-Aug-73",1,5.67,"Pop",207,0,0,1,29,137,62,35,60,-7,"Db",0
"Brother Louie","Stories","25-Aug-73",2,5.33,"Funk/Soul",235,1,1,0,25,104,50,70,85,-9,"Am",0
"Let's Get it On","Marvin Gaye","8-Sep-73",2,9.33,"Funk/Soul",240,1,0,1,34,167,65,48,65,-10,"Eb",1
"Delta Dawn","Helen Reddy","15-Sep-73",1,5.67,"Pop",190,0,1,0,31,157,82,48,79,-8,"C",0
"We're an American Band","Grand Funk","29-Sep-73",1,6.33,"Rock",307,1,1,0,24,128,89,64,92,-5,"D",0
"Half-Breed","Cher","6-Oct-73",2,4.33,"Pop",167,0,1,0,27,103,46,65,90,-13,"Am",0
"Angie","The Rolling Stones","20-Oct-73",1,7,"Rock",272,1,1,0,30,136,54,44,40,-6,"C",0
"Midnight Train to Georgia","Gladys Knight & the Pips","27-Oct-73",2,9.33,"Funk/Soul",237,2,0,1,29,91,44,59,43,-10,"Db",0
"Keep on Truckin'","Eddie Kendricks","10-Nov-73",2,7,"Funk/Soul",212,1,0,1,33,101,68,47,72,-12,"Fm",0
"Photograph","Ringo Starr","24-Nov-73",1,6.33,"Pop",239,1,1,0,33,111,70,62,90,-13,"E",0
"Top of the World","The Carpenters","1-Dec-73",2,4.67,"Pop",179,2,1,0,23,92,34,38,69,-13,"Bb",0
"The Most Beautiful Girl","Charlie Rich","15-Dec-73",2,5.67,"Folk/Country",162,1,1,0,41,103,41,57,46,-10,"G",0
"Time in a Bottle","Jim Croce","29-Dec-73",2,9.67,"Pop",147,1,1,0,30,134,26,54,63,-12,"Multiple Keys",0
"The Joker","Steve Miller Band","12-Jan-74",1,7.67,"Rock",217,1,1,0,30,165,34,42,72,-13,"F",0
"Show and Tell","Al Wilson","19-Jan-74",1,5.33,"Funk/Soul",207,1,0,1,34,89,42,37,93,-11,"D",0
"You're Sixteen","Ringo Starr","26-Jan-74",1,3.33,"Rock",169,1,1,0,33,124,63,67,86,-13,"Ab",0
"The Way We Were","Barbra Streisand","2-Feb-74",3,5.67,"Pop",211,0,1,0,31,138,32,26,17,-12,"A",0
"Love's Theme","Love Unlimited Orchestra","9-Feb-74",1,6,"Funk/Soul",219,1,0,1,29,97,71,52,84,-10,"D",0
"Seasons in the Sun","Terry Jacks","2-Mar-74",3,3,"Pop",186,1,1,0,29,99,61,68,82,-8,"Multiple Keys",0
"Dark Lady","Cher","23-Mar-74",1,4.33,"Pop",209,0,1,0,27,147,41,53,44,-15,"Cm",0
"Sunshine on My Shoulders","John Denver","30-Mar-74",1,6.33,"Folk/Country",208,1,1,0,30,147,17,32,26,-14,"Bb",0
"Hooked on a Feeling","Blue Swede","6-Apr-74",1,6,"Rock",173,1,1,0,26,118,67,55,90,-11,"Ab",0
"Bennie and the Jets","Elton John","13-Apr-74",1,7.33,"Funk/Soul;Rock",323,1,1,0,27,132,72,66,75,-7,"C",0
"TSOP (The Sound of Philadelphia)","MFSB","20-Apr-74",2,7,"Funk/Soul",212,1,2,2,NA,114,85,72,96,-8,"C",0
"The Loco-motion","Grand Funk","4-May-74",2,5.33,"Rock",167,1,1,0,24,125,95,48,28,-4,"D",0
"The Streak","Ray Stevens","18-May-74",3,1,"Folk/Country",198,1,1,0,35,120,52,69,79,-14,"C",0
"Band on the Run","Paul McCartney & Wings","8-Jun-74",1,8.33,"Rock",309,2,1,0,31,125,60,48,67,-9,"G",0
"Billy Don't Be a Hero","Bo Donaldson & the Heywoods","15-Jun-74",2,2.33,"Rock",207,1,1,0,NA,122,69,70,96,-10,"Bb",0
"Sundown","Gordon Lightfoot","29-Jun-74",1,8.33,"Rock",213,1,1,0,35,106,43,79,75,-15,"Gb",0
"Rock the Boat","Hues Corporation","6-Jul-74",1,7,"Funk/Soul",203,2,0,1,30,107,58,60,88,-10,"Eb",0
"Rock Your Baby","George McCrae","13-Jul-74",2,8,"Funk/Soul",199,1,0,1,29,104,66,61,94,-13,"Eb",0
"Annie's Song","John Denver","27-Jul-74",2,6.67,"Folk/Country",181,1,1,0,30,146,31,30,46,-11,"D",0
"Feel Like Makin' Love","Roberta Flack","10-Aug-74",1,6.33,"Funk/Soul",175,0,0,1,37,94,26,68,69,-22,"Eb",1
"The Night Chicago Died","Paper Lace","17-Aug-74",1,4.33,"Rock",203,1,1,0,26,107,45,77,81,-12,"C",0
"(You're) Having My Baby","Paul Anka & Odia Coates","24-Aug-74",3,2,"Pop",156,2,2,2,33,75,59,60,69,-9,"C",0
"I Shot the Sheriff","Eric Clapton","14-Sep-74",1,4.33,"Reggae",210,1,1,0,29,94,57,73,69,-14,"Gm",0
"Can't Get Enough of Your Love, Babe","Barry White","21-Sep-74",1,8,"Funk/Soul",229,1,0,1,30,111,83,80,75,-7,"F",1
"Rock Me Gently","Andy Kim","28-Sep-74",1,8,"Pop",208,1,1,0,27,123,70,72,78,-8,"C",0
"I Honestly Love You","Olivia Newton-John","5-Oct-74",2,4.67,"Pop",221,0,1,0,26,135,11,36,15,-15,"Bb",0
"Nothing from Nothing","Billy Preston","19-Oct-74",1,6,"Funk/Soul",158,1,0,1,28,103,71,81,92,-8,"C",0
"Then Came You","Dionne Warwick & The Spinners","26-Oct-74",1,6.67,"Funk/Soul",239,2,0,1,33,116,59,84,80,-12,"F",0
"You Haven't Done Nothin'","Stevie Wonder","2-Nov-74",1,7.67,"Funk/Soul",203,1,0,1,24,101,63,75,82,-10,"Ebm",0
"You Ain't Seen Nothing Yet","Bachman-Turner Overdrive","9-Nov-74",1,7.33,"Rock",218,1,1,0,31,120,53,51,79,-12,"A",0
"Whatever Gets You Thru the Night","John Lennon","16-Nov-74",1,6.67,"Rock",206,1,1,0,34,126,79,57,77,-11,"D",0
"I Can Help","Billy Swam","23-Nov-74",2,5,"Pop",178,1,1,0,32,125,68,47,53,-9,"C",0
"Kung Fu Fighting","Carl Douglas","7-Dec-74",2,4,"Funk/Soul",195,1,0,1,32,102,67,60,59,-10,"D",0
"Cat's in the Cradle","Harry Chapin","21-Dec-74",1,8.33,"Rock",212,1,1,0,32,78,48,46,51,-13,"F",0
"Angie Baby","Helen Reddy","28-Dec-74",1,6.33,"Pop",211,0,1,0,33,80,34,56,60,-16,"Gm",0
"Lucy in the Sky with Diamonds","Elton John","4-Jan-75",2,4,"Rock",354,1,1,0,27,164,57,39,54,-8,"Multiple Keys",0
"Mandy","Barry Manilow","18-Jan-75",1,4.33,"Pop",195,1,1,0,31,104,46,31,32,-9,"Bb",0
"Please Mr. Postman","The Carpenters","25-Jan-75",1,1.67,"Pop",172,2,1,0,24,133,55,66,96,-12,"A",0
"Laughter in the Rain","Neil Sedaka","1-Feb-75",1,2.67,"Pop",170,1,1,0,35,101,63,51,95,-9,"F",0
"Fire","Ohio Players","8-Feb-75",1,7.33,"Funk/Soul",192,1,0,1,NA,107,68,62,84,-16,"Cm",0
"You're No Good","Linda Ronstadt","15-Feb-75",1,7,"Rock",224,0,1,0,28,105,52,67,63,-10,"Bbm",0
"Pick Up the Pieces","Average White Band","22-Feb-75",1,6.67,"Funk/Soul",185,1,1,0,27,107,80,76,93,-8,"Fm",0
"Best of My Love","Eagles","1-Mar-75",1,5.33,"Rock",330,1,1,0,27,90,38,40,74,-12,"C",0
"Have You Never Been Mellow","Olivia Newton-John","8-Mar-75",1,3,"Pop",210,0,1,0,26,122,32,54,42,-14,"C",0
"Black Water","The Doobie Brothers","15-Mar-75",1,7.67,"Rock;Folk/Country",255,1,2,2,26,168,31,54,65,-18,"D",0
"My Eyes Adored You","Frankie Valli","22-Mar-75",1,5.67,"Pop",212,1,1,0,41,138,50,46,39,-10,"D",0
"Lady Marmalade","LaBelle","29-Mar-75",1,7,"Funk/Soul",236,0,0,1,30,118,65,57,95,-11,"Dm",0
"Lovin' You","Minnie Riperton","29-Mar-75",1,4.67,"Pop",204,0,0,1,27,101,21,39,31,-12,"A",0
"Philadelphia Freedom","Elton John","12-Apr-75",2,6.67,"Rock",325,1,1,0,28,125,68,71,81,-6,"A",0
"(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas","26-Apr-75",1,5.33,"Folk/Country",206,1,1,0,32,125,53,64,70,-11,"E",0
"He Don't Love You (Like I Love You)","Tony Orlando & Dawn","3-May-75",3,3.33,"Pop",219,2,2,2,31,119,55,64,81,-12,"A",0
"Shining Star","Earth, Wind & Fire","24-May-75",1,9,"Funk/Soul",170,1,0,1,34,103,69,68,80,-13,"Em",0
"Before the Next Teardrop Falls","Freddy Fender","31-May-75",1,7.33,"Folk/Country",153,1,0,0,37,92,29,77,69,-9,"Bb",0
"Thank God I'm a Country Boy","John Denver","7-Jun-75",1,5,"Folk/Country",167,1,1,0,31,101,88,62,78,-9,"A",0
"Sister Golden Hair","America","14-Jun-75",1,7,"Rock",200,1,1,0,23,135,55,44,72,-12,"E",1
"Love Will Keep Us Together","Captain & Tennille","21-Jun-75",4,4.67,"Pop",205,2,1,0,34,130,78,63,93,-4,"B",0
"Listen to What the Man Said","Paul McCartney & Wings","19-Jul-75",1,5,"Pop",235,2,1,0,33,113,67,49,59,-7,"G",0
"The Hustle","Van McCoy & the Soul City Symphony","26-Jul-75",1,4.33,"Funk/Soul",254,1,0,1,35,110,62,64,75,-18,"F",0
"One of these Nights","Eagles","2-Aug-75",1,7.67,"Rock",214,1,1,0,28,110,58,70,82,-12,"G",0
"Jive Talkin'","Bee Gees","9-Aug-75",2,7.67,"Funk/Soul",213,1,1,0,27,106,57,81,70,-13,"C",0
"Fallin' in Love","Hamilton, Joe Frank & Reynolds","23-Aug-75",1,4.33,"Pop",194,1,1,0,29,87,41,58,71,-15,"Gbm",0
"Get Down Tonight","KC & the Sunshine Band","30-Aug-75",1,8,"Funk/Soul",192,1,2,2,24,113,86,67,90,-10,"Bb",0
"Rhinestone Cowboy","Glen Campbell","6-Sep-75",2,7,"Rock",194,1,1,0,39,115,63,64,65,-8,"C",0
"Fame","David Bowie","20-Sep-75",2,9.67,"Funk/Soul",214,1,1,0,28,95,42,77,74,-15,"Bbm",0
"I'm Sorry","John Denver","27-Sep-75",1,3.67,"Pop",212,1,1,0,31,128,24,45,53,-15,"G",0
"Bad Blood","Neil Sedaka","11-Oct-75",3,5.67,"Rock",189,1,1,0,36,149,75,74,84,-8,"A",1
"Island Girl","Elton John","1-Nov-75",3,3.33,"Rock",225,1,1,0,28,140,94,72,38,-6,"Bb",0
"That's the Way (I Like It)","KC & the Sunshine Band","22-Nov-75",2,7,"Funk/Soul",185,1,2,2,24,109,88,68,92,-10,"Fm",0
"Fly, Robin, Fly","Silver Connection","9-Nov-75",3,5.33,"Funk/Soul",335,0,2,2,NA,100,48,86,93,-12,"Cm",0
"Let's Do It Again","The Staple Singers","27-Dec-75",1,7.67,"Funk/Soul",294,2,0,1,36,80,52,64,82,-11,"E",1
"Saturday Night","Bay City Rollers","2-Jan-76",1,6.33,"Rock",174,1,1,0,20,137,68,51,91,-10,"G",0
"Convoy","C.W. McCall","10-Jan-76",1,3.33,"Pop",231,1,1,0,47,112,54,68,80,-15,"F",0
"I Write the Songs","Barry Manilow","17-Jan-76",1,4,"Pop",235,1,1,0,32,143,44,27,32,-7,"F",0
"Theme from Mahogany (Do You Know Where You're Going To)","Diana Ross","24-Jan-76",1,6,"Pop",204,0,0,1,31,140,42,35,28,-11,"Multiple Keys",0
"Love Rollercoaster","Ohio Players","31-Jan-76",1,5.33,"Funk/Soul",172,1,0,1,NA,115,82,61,47,-10,"C",0
"50 Ways to Leave Your Lover","Paul Simon","7-Feb-76",3,8.33,"Pop",217,1,1,0,34,102,37,81,29,-13,"G",0
"Theme from S.W.A.T.","Rhythm Heritage","28-Feb-76",1,6.33,"Funk/Soul",201,1,2,2,33,109,90,63,96,-6,"Am",0
"Love Machine (Part 1)","The Miracles","6-Mar-76",1,5,"Funk/Soul",181,1,0,1,25,144,83,74,82,-12,"Multiple Keys",0
"December, 1963 (Oh What a Night!)","Frankie Valli & the Four Seasons","13-Mar-76",3,8.33,"Funk/Soul",197,1,1,0,41,104,50,74,97,-13,"Db",0
"Disco Lady","Johnnie Taylor","3-Apr-76",4,6.33,"Funk/Soul",267,1,0,1,41,104,79,72,85,-8,"D",0
"Let Your Love Flow","The Bellamy Brothers","1-May-76",1,7,"Rock",199,1,1,0,28,109,55,68,95,-15,"Eb",0
"Welcome Back","John Sebastian","8-May-76",1,5,"Pop",171,1,1,0,32,111,37,75,90,-13,"D",0
"Boogie Fever","The Sylvers","15-May-76",1,6.67,"Funk/Soul",201,2,0,1,19,133,82,92,97,-8,"Multiple Keys",0
"Silly Love Songs","Paul McCartney & Wings","22-May-76",5,6.67,"Pop",352,2,1,0,33,125,34,74,82,-16,"C",0
"Love Hangover","Diana Ross","29-May-76",2,7.67,"Funk/Soul",229,0,0,1,32,112,76,50,86,-10,"Ebm",0
"Afternoon Delight","Starland Vocal Band","10-Jul-76",2,5.33,"Rock",191,2,2,0,31,147,44,49,79,-12,"F",1
"Kiss and Say Goodbye","The Manhattans","24-Jul-76",2,8.33,"Funk/Soul",209,1,0,1,24,129,42,64,58,-10,"Bb",0
"Don't Go Breaking My Heart","Elton John & Kiki Dee","7-Aug-76",4,6.67,"Pop",271,2,1,0,29,131,86,74,78,-8,"F",0
"You Should Be Dancing","Bee Gees","4-Sep-76",1,8.33,"Funk/Soul",256,1,1,0,30,123,72,68,96,-11,"Gm",0
"(Shake, Shake, Shake) Shake Your Booty","KC & the Sunshine Band","11-Sep-76",1,5.33,"Funk/Soul",187,1,2,2,25,112,82,65,96,-12,"Cm",0
"Play That Funky Music","Wild Cherry","18-Sep-76",3,8,"Funk/Soul",191,1,1,0,25,109,73,79,90,-10,"Em",0
"A Fifth of Beethoven","Walter Murphy & the Big Apple Band","9-Oct-76",1,6.33,"Funk/Soul",182,1,1,0,23,109,51,69,78,-13,"Cm",0
"Disco Duck","Rick Dees & His Cast of Idiots","16-Oct-76",1,1.67,"Funk/Soul",199,1,1,0,26,117,45,81,97,-15,"A",0
"If You Leave Me Now","Chicago","23-Oct-76",2,4.67,"Rock",235,1,1,0,32,104,56,43,28,-7,"B",0
"Rock 'n Me","Steve Miller Band","6-Nov-76",1,7,"Rock",187,1,1,0,33,122,58,69,89,-11,"E",0
"Tonight's the Night (Gonna Be Alright)","Rod Stewart","13-Nov-76",8,6,"Rock",213,1,1,0,31,135,61,57,64,-11,"Multiple Keys",0
"You Don't Have to Be a Star (To Be in My Show)","Marilyn McCoo & Billy Davis, Jr.","8-Jan-77",1,6,"Funk/Soul;Pop",209,2,1,0,36,100,56,47,92,-8,"E",0
"You Make Me Feel Like Dancing","Leo Sayer","15-Jan-77",1,4,"Funk/Soul",173,1,1,0,28,96,55,76,83,-12,"Multiple Keys",0
"I Wish","Stevie Wonder","22-Jan-77",1,9,"Funk/Soul",271,1,0,1,26,106,71,85,95,-9,"Ebm",0
"Car Wash","Rose Royce","29-Jan-77",1,6.67,"Funk/Soul",200,2,0,1,23,115,66,73,79,-7,"D",0
"Torn Between Two Lovers","Mary MacGregor","5-Feb-77",2,2,"Rock",229,0,1,0,28,132,38,55,50,-11,"Bb",0
"Blinded by the Light","Manfred Mann's Earth Band","19-Feb-77",1,7,"Rock",229,1,1,0,36,141,56,59,58,-12,"F",0
"New Kid in Town","Eagles","26-Feb-77",1,7,"Rock",305,1,1,0,28,107,43,65,65,-10,"E",0
